LEA Name,unit_code,School Name,SBE District,SPG Grade,SPG Score,Reading SPG Grade,Reading  SPG Score,Math SPG Grade,Math SPG Score,EVAAS Growth Status,EVAAS Growth Score,Overall Achievement Score,Read Score,Math Score,Science Score,Math I Score,English II Score,Biology Score,The ACT Score,ACT WorkKeys Score,Math Course Rigor Score,Cohort Graduation Rate Standard Score,State Gap Compared
Cleveland County Schools,230328,Crest Middle,Southwest,C,56.0,C,59.0,D,48.0,NotMet,58.2,55,58,43,74,100,,,,,,,
Cleveland County Schools,230330,Turning Point Academy,Southwest,,,,,,,,,,,,,,,,,,,,
Cleveland County Schools,230334,East Elementary,Southwest,B,77.0,C,69.0,B,84.0,Exceeded,85.9,75,65,84,,,,,,,,,
Cleveland County Schools,230336,Shelby Intermediate,Southwest,C,57.0,C,55.0,C,57.0,Met,81.3,51,49,49,57,,,,,,,,
Cleveland County Schools,230340,Fallston Elementary,Southwest,C,64.0,C,65.0,C,60.0,Met,81.8,60,60,58,69,,,,,,,,
Cleveland County Schools,230342,Graham Elementary,Southwest,D,53.0,D,52.0,D,53.0,Met,82.0,46,45,47,,,,,,,,,
Cleveland County Schools,230344,Grover Elementary,Southwest,B,70.0,B,71.0,C,68.0,Exceeded,88.4,66,67,64,,,,,,,,,
Cleveland County Schools,230346,James Love Elementary,Southwest,D,50.0,D,50.0,D,51.0,Met,75.2,44,44,44,,,,,,,,,
Cleveland County Schools,230348,Jefferson Elementary,Southwest,C,68.0,C,64.0,B,71.0,Met,84.1,64,59,68,,,,,,,,,
Cleveland County Schools,230350,Kings Mountain High,Southwest,B,78.0,,,,,Exceeded,94.4,74,,,,60,67,68,59,83,100,91,
Cleveland County Schools,230351,Kings Mountain Intermediate,Southwest,C,63.0,C,65.0,D,54.0,NotMet,58.2,64,63,55,84,,,,,,,,
Cleveland County Schools,230352,Kings Mountain Middle,Southwest,C,58.0,C,61.0,D,45.0,NotMet,52.7,59,61,44,78,100,,,,,,,
Cleveland County Schools,230355,Marion Elementary,Southwest,C,60.0,C,59.0,C,59.0,Met,79.5,55,53,56,,,,,,,,,
Cleveland County Schools,230357,North Elementary,Southwest,B,79.0,B,81.0,B,78.0,Met,75.3,80,81,80,,,,,,,,,
Cleveland County Schools,230359,North Shelby,Southwest,,,,,,,,,,,,,,,,,,,,
Cleveland County Schools,230361,Shelby High,Southwest,C,62.0,,,,,NotMet,55.7,63,,,,44,58,39,51,64,100,90,
Cleveland County Schools,230362,Shelby Middle,Southwest,D,46.0,D,51.0,D,41.0,NotMet,57.6,43,46,32,50,100,,,,,,,
Cleveland County Schools,230364,Springmore Elementary,Southwest,B,74.0,B,70.0,B,71.0,Exceeded,91.9,69,66,67,87,,,,,,,,
Cleveland County Schools,230368,Township Three Elementary,Southwest,C,57.0,C,61.0,C,55.0,Met,74.0,53,55,51,54,,,,,,,,
Cleveland County Schools,230370,Union Elementary,Southwest,C,62.0,C,62.0,C,57.0,Met,82.5,57,55,54,65,,,,,,,,
Cleveland County Schools,230376,Washington Elementary,Southwest,C,68.0,C,61.0,C,69.0,Met,84.1,64,56,67,77,,,,,,,,
Cleveland County Schools,230380,West Elementary,Southwest,B,80.0,B,77.0,B,83.0,Exceeded,85.8,79,75,83,,,,,,,,,
Columbus County Schools,240304,Acme Delco Middle,Sandhills,F,39.0,D,47.0,F,26.0,NotMet,60.8,34,39,17,53,90,,,,,,,
Columbus County Schools,240308,Acme Delco Elementary,Sandhills,D,50.0,D,53.0,D,49.0,Met,81.2,42,45,41,34,,,,,,,,
Columbus County Schools,240328,Cerro Gordo Elementary,Sandhills,C,59.0,C,60.0,C,56.0,Met,74.3,55,56,50,67,,,,,,,,
Columbus County Schools,240330,Chadbourn Middle,Sandhills,D,51.0,D,49.0,D,46.0,Exceeded,88.0,42,40,36,61,100,,,,,,,
Columbus County Schools,240332,Chadbourn Elementary,Sandhills,D,42.0,D,44.0,D,45.0,Met,78.0,33,37,35,17,,,,,,,,
Columbus County Schools,240334,East Columbus High,Sandhills,D,54.0,,,,,NotMet,53.3,54,,,,24,47,38,42,71,100,84,
Columbus County Schools,240344,Evergreen Elementary,Sandhills,D,52.0,C,56.0,D,48.0,Met,80.7,45,50,39,50,75,,,,,,,
Columbus County Schools,240352,Guideway Elementary,Sandhills,F,39.0,D,44.0,F,39.0,Met,71.6,31,35,30,23,,,,,,,,
Columbus County Schools,240354,Hallsboro-Artesia Elementary,Sandhills,D,49.0,D,46.0,D,44.0,Met,81.0,41,40,34,59,,,,,,,,
Columbus County Schools,240356,Hallsboro Middle,Sandhills,D,50.0,D,54.0,D,40.0,Met,81.8,42,48,28,63,100,,,,,,,
Columbus County Schools,240368,Nakina Middle,Sandhills,C,57.0,C,59.0,D,49.0,NotMet,69.4,54,56,43,74,100,,,,,,,
Columbus County Schools,240370,Old Dock Elementary,Sandhills,C,68.0,C,67.0,B,72.0,Exceeded,85.2,64,63,68,52,,,,,,,,
Columbus County Schools,240371,South Columbus High,Sandhills,C,61.0,,,,,Met,71.8,59,,,,35,48,50,39,63,100,85,
Columbus County Schools,240372,Tabor City Elementary,Sandhills,D,43.0,D,44.0,D,44.0,Met,72.2,36,38,34,39,,,,,,,,
Columbus County Schools,240373,CCCA - Fair Bluff /Southeastern Campuses,Sandhills,C,66.0,,,,,Met,76.6,64,,,,41,67,,65,,100,88,
Columbus County Schools,240376,Tabor City Middle,Sandhills,D,43.0,D,47.0,F,38.0,NotMet,65.3,37,39,28,42,100,,,,,,,
Columbus County Schools,240380,West Columbus High,Sandhills,C,57.0,,,,,NotMet,66.0,55,,,,32,49,41,33,63,100,89,
Columbus County Schools,240388,Williams Township,Sandhills,C,57.0,C,56.0,C,55.0,Met,78.4,52,50,48,62,91,,,,,,,
Whiteville City Schools,241304,Central Middle,Sandhills,C,63.0,C,56.0,C,61.0,Exceeded,85.6,57,51,53,81,100,,,,,,,
Whiteville City Schools,241308,Edgewood Elementary,Sandhills,C,64.0,C,64.0,C,62.0,Exceeded,91.1,57,58,56,59,,,,,,,,
Whiteville City Schools,241312,North Whiteville Academy,Sandhills,,,,,,,,,,,,,,,,,,,,
Whiteville City Schools,241316,Whiteville High,Sandhills,C,61.0,,,,,NotMet,54.7,63,,,,44,59,40,51,76,100,87,
Whiteville City Schools,241320,Whiteville Primary,Sandhills,I,,,,,,,,,,,,,,,,,,,
Craven County Schools,250304,Albert H Bangert Elementary,Southeast,C,57.0,C,59.0,C,55.0,Met,74.8,52,54,51,53,,,,,,,,
Craven County Schools,250306,Ben D Quinn Elementary,Southeast,C,65.0,C,60.0,C,67.0,Met,73.3,63,57,66,72,,,,,,,,
Craven County Schools,250308,Bridgeton Elementary,Southeast,C,68.0,C,64.0,C,69.0,Exceeded,85.2,64,60,64,73,,,,,,,,
Craven County Schools,250312,Brinson Memorial Elementary,Southeast,B,70.0,C,66.0,B,74.0,Met,75.7,68,64,72,71,,,,,,,,
Craven County Schools,250314,Craven Early College High,Southeast,A,85.0,,,,,Exceeded,90.9,83,,,,67,80,72,90,,100,100,Insufficient Data
Craven County Schools,250316,Creekside Elementary,Southeast,B,73.0,B,71.0,B,74.0,Exceeded,88.4,70,67,70,76,,,,,,,,
Craven County Schools,250320,Vanceboro-Farm Life Elementary,Southeast,D,52.0,D,52.0,C,55.0,NotMet,67.0,49,46,52,45,,,,,,,,
Craven County Schools,250321,Early College EAST High,Southeast,B,81.0,,,,,Met,82.6,81,,,,67,84,60,79,,100,95,
Craven County Schools,250324,Grover C Fields Middle,Southeast,C,60.0,C,60.0,D,53.0,Met,82.4,55,55,47,70,100,,,,,,,
Craven County Schools,250328,Graham A Barden Elementary,Southeast,B,79.0,B,78.0,B,77.0,Exceeded,87.7,77,75,76,84,,,,,,,,
Craven County Schools,250332,H J MacDonald Middle,Southeast,C,59.0,C,60.0,D,51.0,NotMet,60.1,58,58,49,74,100,,,,,,,
Craven County Schools,250336,Havelock Elementary,Southeast,C,58.0,C,55.0,C,57.0,Met,71.2,55,52,53,72,,,,,,,,
Craven County Schools,250340,Havelock High,Southeast,C,68.0,,,,,Met,70.6,68,,,,58,57,43,60,74,100,90,
Craven County Schools,250344,Havelock Middle,Southeast,C,68.0,C,63.0,C,64.0,Exceeded,92.8,62,59,57,80,100,,,,,,,
Craven County Schools,250348,J T Barber Elementary,Southeast,C,57.0,D,49.0,C,63.0,Met,81.8,51,40,60,60,,,,,,,,
Craven County Schools,250350,James W Smith Elementary,Southeast,C,55.0,D,50.0,D,52.0,Exceeded,93.3,46,42,43,68,,,,,,,,
Craven County Schools,250356,New Bern High,Southeast,C,66.0,,,,,NotMet,66.8,65,,,,51,57,52,55,80,90,84,
Craven County Schools,250360,Oaks Road Elementary,Southeast,D,51.0,D,49.0,D,49.0,Met,80.9,43,42,41,57,,,,,,,,
Craven County Schools,250362,Roger R Bell Elementary,Southeast,D,50.0,D,49.0,D,49.0,Met,76.9,43,42,42,53,,,,,,,,
Craven County Schools,250364,Trent Park Elementary,Southeast,C,59.0,D,53.0,C,59.0,Exceeded,85.0,53,47,53,73,,,,,,,,
Craven County Schools,250368,Tucker Creek Middle,Southeast,B,72.0,B,70.0,C,66.0,Met,77.5,71,69,64,90,100,,,,,,,
Craven County Schools,250372,West Craven High,Southeast,C,65.0,,,,,Met,75.7,62,,,,48,51,45,56,72,100,81,
Craven County Schools,250376,West Craven Middle,Southeast,C,60.0,C,55.0,D,52.0,Exceeded,93.1,52,48,42,84,100,,,,,,,
Craven County Schools,250378,W Jesse Gurganus Elementary,Southeast,B,79.0,B,77.0,B,79.0,Met,83.4,78,76,79,84,,,,,,,,
Craven County Schools,250380,Arthur W Edwards Elementary,Southeast,B,74.0,B,74.0,B,73.0,Exceeded,90.3,70,71,70,69,,,,,,,,
Cumberland County Schools,260302,Alma O Easom Elementary,Sandhills,I,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260306,Armstrong Elementary,Sandhills,B,70.0,C,68.0,B,70.0,Met,82.9,67,65,67,78,,,,,,,,
Cumberland County Schools,260308,Ashley Elementary,Sandhills,C,55.0,C,60.0,D,48.0,NotMet,69.2,51,56,45,57,,,,,,,,
Cumberland County Schools,260310,Loyd E Auman Elementary,Sandhills,D,52.0,D,51.0,D,50.0,Met,75.1,47,46,43,62,,,,,,,,
Cumberland County Schools,260312,Beaver Dam Elementary,Sandhills,A,85.0,B,80.0,A,86.0,Met,80.4,85,79,90,86,,,,,,,,Insufficient Data
Cumberland County Schools,260316,Lillian Black Elementary,Sandhills,D,48.0,D,46.0,D,51.0,Met,70.4,42,40,45,43,,,,,,,,
Cumberland County Schools,260318,Jack Britt High,Sandhills,A,88.0,,,,,Exceeded,100.0,85,,,,76,83,84,77,78,100,94,Greater Than
Cumberland County Schools,260320,Brentwood Elementary,Sandhills,C,64.0,C,59.0,C,65.0,Met,82.8,59,54,61,75,,,,,,,,
Cumberland County Schools,260321,Douglas Byrd Middle,Sandhills,D,50.0,D,46.0,F,36.0,Exceeded,92.8,40,36,25,72,100,,,,,,,
Cumberland County Schools,260322,Douglas Byrd High,Sandhills,C,59.0,,,,,Exceeded,87.7,52,,,,27,43,32,31,53,100,81,
Cumberland County Schools,260325,Cape Fear High,Sandhills,B,75.0,,,,,Exceeded,96.1,70,,,,60,60,54,65,75,100,86,
Cumberland County Schools,260326,Elizabeth M Cashwell Elementary,Sandhills,D,54.0,D,51.0,D,51.0,Exceeded,88.4,45,43,42,63,,,,,,,,
Cumberland County Schools,260332,Eastover Central Elementary,Sandhills,B,71.0,B,74.0,C,64.0,NotMet,66.5,72,74,65,87,,,,,,,,
Cumberland County Schools,260336,Anne Chesnutt Middle,Sandhills,D,54.0,D,54.0,D,43.0,Exceeded,90.8,44,46,32,68,100,,,,,,,
Cumberland County Schools,260338,Cliffdale Elementary,Sandhills,D,50.0,D,52.0,D,45.0,Met,80.1,42,44,39,47,,,,,,,,
Cumberland County Schools,260340,College Lakes Elementary,Sandhills,C,56.0,D,51.0,C,58.0,Met,79.9,50,44,53,58,,,,,,,,
Cumberland County Schools,260342,C Wayne Collier Elementary,Sandhills,C,58.0,C,57.0,C,55.0,Met,83.4,51,51,49,59,,,,,,,,
Cumberland County Schools,260344,J W Coon Elementary,Sandhills,C,61.0,C,57.0,C,58.0,Exceeded,85.5,55,52,51,83,,,,,,,,
Cumberland County Schools,260347,Cumberland International Early CollegeHS,Sandhills,A,91.0,,,,,Met,84.4,92,,,,87,92,83,100,,100,100,Insufficient Data
Cumberland County Schools,260348,Cumberland Mills Elementary,Sandhills,C,60.0,C,55.0,C,62.0,Exceeded,90.9,52,47,55,58,,,,,,,,
Cumberland County Schools,260352,Cumberland Road Elementary,Sandhills,C,63.0,C,62.0,C,56.0,Exceeded,90.2,56,55,50,82,,,,,,,,
Cumberland County Schools,260354,Cross Creek Early College,Sandhills,A,87.0,,,,,Met,75.5,90,,,,83,84,83,94,,100,100,Insufficient Data
Cumberland County Schools,260356,District No 7 Elementary,Sandhills,B,80.0,B,78.0,B,75.0,Exceeded,87.4,78,77,74,90,,,,,,,,
Cumberland County Schools,260357,Grays Creek High,Sandhills,B,75.0,,,,,Exceeded,86.2,72,,,,58,65,55,66,79,100,90,
Cumberland County Schools,260358,Luther Nick Jeralds Middle,Sandhills,D,41.0,D,40.0,F,35.0,NotMet,60.4,36,35,26,58,78,,,,,,,
Cumberland County Schools,260359,E E Smith High,Sandhills,C,64.0,,,,,Met,84.3,59,,,,38,46,56,41,68,100,82,
Cumberland County Schools,260361,Ferguson-Easley Elementary,Sandhills,D,54.0,D,46.0,D,51.0,Met,80.2,47,41,43,78,,,,,,,,
Cumberland County Schools,260362,Grays Creek Middle,Sandhills,C,64.0,C,58.0,C,58.0,Met,83.1,60,57,51,86,100,,,,,,,
Cumberland County Schools,260363,Glendale Acres Elementary,Sandhills,I,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260364,Alderman Road Elementary,Sandhills,C,60.0,C,59.0,C,57.0,Exceeded,86.2,53,54,49,65,,,,,,,,
Cumberland County Schools,260365,R Max Abbott Middle,Sandhills,C,59.0,C,62.0,D,46.0,Met,76.7,54,58,39,76,93,,,,,,,
Cumberland County Schools,260366,Howard L Hall Elementary,Sandhills,B,77.0,B,77.0,B,76.0,Met,84.2,75,76,74,77,,,,,,,,
Cumberland County Schools,260367,Bill Hefner Elementary,Sandhills,C,58.0,C,57.0,D,54.0,Met,80.7,52,53,47,68,,,,,,,,
Cumberland County Schools,260368,Hope Mills Middle,Sandhills,D,49.0,D,50.0,D,40.0,NotMet,59.7,47,48,33,75,100,,,,,,,
Cumberland County Schools,260369,John R Griffin Middle,Sandhills,B,74.0,C,68.0,C,66.0,Exceeded,92.1,69,67,61,89,100,,,,,,,
Cumberland County Schools,260370,Ed V Baldwin Elementary,Sandhills,C,60.0,D,54.0,C,63.0,Exceeded,89.0,53,47,56,65,,,,,,,,
Cumberland County Schools,260371,Ireland Drive Middle,Sandhills,D,43.0,D,46.0,D,41.0,NotMet,58.0,39,42,36,,,,,,,,,
Cumberland County Schools,260372,Lewis Chapel Middle,Sandhills,F,38.0,D,40.0,F,35.0,NotMet,60.8,33,35,23,49,73,,,,,,,
Cumberland County Schools,260373,Gallberry Farm Elementary,Sandhills,C,66.0,C,61.0,C,65.0,Met,83.2,61,58,60,78,,,,,,,,
Cumberland County Schools,260374,Alger B. Wilkins High School PLC,Sandhills,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260375,Grays Creek Elementary,Sandhills,C,63.0,C,68.0,D,52.0,Met,81.6,59,63,49,75,,,,,,,,
Cumberland County Schools,260380,Long Hill Elementary,Sandhills,B,76.0,B,73.0,B,75.0,Met,84.7,74,71,72,88,,,,,,,,
Cumberland County Schools,260382,Lucile Souders Elementary,Sandhills,D,53.0,D,53.0,D,49.0,Met,78.9,47,48,41,63,,,,,,,,
Cumberland County Schools,260383,Mac Williams Middle,Sandhills,C,58.0,C,56.0,D,50.0,NotMet,66.2,56,55,47,79,100,,,,,,,
Cumberland County Schools,260386,Margaret Willis Elementary,Sandhills,C,57.0,D,54.0,D,51.0,Met,79.8,52,49,45,82,,,,,,,,
Cumberland County Schools,260388,Massey Hill Classical High,Sandhills,B,83.0,,,,,Exceeded,85.0,82,,,,73,75,76,76,89,100,100,
Cumberland County Schools,260396,Mary McArthur Elementary,Sandhills,D,47.0,D,50.0,D,47.0,NotMet,64.0,43,45,41,43,,,,,,,,
Cumberland County Schools,260397,E Melvin Honeycutt Elementary,Sandhills,B,74.0,B,74.0,B,72.0,Met,83.4,72,73,68,80,,,,,,,,
Cumberland County Schools,260398,E E Miller Elementary,Sandhills,C,58.0,C,60.0,C,55.0,Met,75.7,53,56,49,59,,,,,,,,
Cumberland County Schools,260400,Montclair Elementary,Sandhills,D,52.0,D,51.0,D,51.0,NotMet,60.2,50,47,49,61,,,,,,,,
Cumberland County Schools,260401,Morganton Road Elementary,Sandhills,C,60.0,C,60.0,D,54.0,Exceeded,88.2,52,54,45,68,,,,,,,,
Cumberland County Schools,260402,Manchester Elementary,Sandhills,D,47.0,D,47.0,D,46.0,Met,74.2,41,40,39,49,,,,,,,,
Cumberland County Schools,260403,New Century International Elementary,Sandhills,C,69.0,C,65.0,C,68.0,Exceeded,93.2,63,60,61,76,,,,,,,,
Cumberland County Schools,260404,William H Owen Elementary,Sandhills,C,57.0,C,57.0,C,56.0,NotMet,57.9,56,55,55,64,,,,,,,,
Cumberland County Schools,260405,Walker Spivey Elementary,Sandhills,C,57.0,D,50.0,C,61.0,Met,82.7,51,46,54,59,,,,,,,,
Cumberland County Schools,260406,Pine Forest Middle,Sandhills,B,72.0,B,72.0,C,59.0,Exceeded,94.9,66,70,51,91,100,,,,,,,
Cumberland County Schools,260407,Lake Rim Elementary,Sandhills,C,60.0,C,63.0,D,54.0,Met,71.2,57,59,52,70,,,,,,,,
Cumberland County Schools,260408,Pine Forest High,Sandhills,C,67.0,,,,,NotMet,69.6,66,,,,49,59,46,61,59,100,85,
Cumberland County Schools,260410,Ponderosa Elementary,Sandhills,C,56.0,D,53.0,C,55.0,Met,81.9,50,47,48,64,,,,,,,,
Cumberland County Schools,260411,Reid Ross Classical High,Sandhills,C,62.0,,,,,NotMet,57.0,63,,,,30,66,34,51,83,100,100,
Cumberland County Schools,260412,Raleigh Road Elementary,Sandhills,I,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260413,Pauline Jones Middle,Sandhills,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260414,Benjamin J Martin Elementary,Sandhills,C,58.0,D,53.0,C,59.0,Exceeded,87.8,50,46,52,60,,,,,,,,
Cumberland County Schools,260415,Rockfish Elementary,Sandhills,B,74.0,B,74.0,B,71.0,Met,80.5,73,73,69,81,,,,,,,,
Cumberland County Schools,260416,J W Seabrook Elementary,Sandhills,C,60.0,C,62.0,C,57.0,Met,83.5,54,57,51,57,,,,,,,,
Cumberland County Schools,260417,New Century International Middle,Sandhills,C,63.0,C,65.0,D,47.0,Met,81.6,58,62,40,89,100,,,,,,,
Cumberland County Schools,260418,Seventy-First Classical Middle,Sandhills,B,78.0,B,80.0,C,67.0,Exceeded,94.9,73,78,61,91,100,,,,,,,
Cumberland County Schools,260419,Reid Ross Classical Middle,Sandhills,C,57.0,C,62.0,D,46.0,NotMet,68.6,54,59,40,72,100,,,,,,,
Cumberland County Schools,260424,Seventy-First High,Sandhills,C,59.0,,,,,Met,74.0,56,,,,32,45,37,45,54,100,81,
Cumberland County Schools,260425,South View Middle,Sandhills,D,43.0,D,46.0,F,31.0,NotMet,58.3,39,42,24,63,94,,,,,,,
Cumberland County Schools,260426,Sherwood Park Elementary,Sandhills,D,52.0,D,49.0,D,53.0,Met,80.2,45,42,45,53,,,,,,,,
Cumberland County Schools,260427,South View High,Sandhills,C,64.0,,,,,Exceeded,85.8,58,,,,38,56,39,43,69,95,82,
Cumberland County Schools,260428,Spring Lake Middle,Sandhills,F,39.0,F,39.0,F,38.0,NotMet,65.2,33,34,26,44,84,,,,,,,
Cumberland County Schools,260430,Stedman Elementary,Sandhills,B,79.0,B,77.0,B,79.0,Met,82.7,79,75,80,89,,,,,,,,
Cumberland County Schools,260432,Stedman Primary,Sandhills,I,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260434,Stoney Point Elementary,Sandhills,B,73.0,B,75.0,C,65.0,Met,84.7,70,72,63,86,,,,,,,,
Cumberland County Schools,260440,Sunnyside Elementary,Sandhills,C,61.0,C,60.0,C,58.0,Met,83.0,55,55,53,70,,,,,,,,
Cumberland County Schools,260444,Teresa C Berrien Elementary,Sandhills,D,53.0,C,55.0,C,59.0,Met,82.8,46,48,54,16,,,,,,,,
Cumberland County Schools,260446,Terry Sanford High,Sandhills,C,69.0,,,,,Met,81.6,65,,,,43,62,50,63,76,100,84,
Cumberland County Schools,260448,Vanstory Hills Elementary,Sandhills,B,80.0,B,79.0,B,75.0,Exceeded,96.7,76,77,71,90,,,,,,,,
Cumberland County Schools,260449,Ramsey Street High,Sandhills,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260450,Warrenwood Elementary,Sandhills,D,50.0,D,53.0,D,46.0,Met,77.3,44,49,37,49,,,,,,,,
Cumberland County Schools,260452,Westarea Elementary,Sandhills,C,58.0,D,54.0,C,55.0,Exceeded,90.3,51,46,48,72,,,,,,,,
Cumberland County Schools,260454,Westover Middle,Sandhills,D,49.0,D,48.0,F,35.0,Exceeded,85.6,40,40,25,75,90,,,,,,,
Cumberland County Schools,260455,Westover High,Sandhills,C,59.0,,,,,Exceeded,85.3,53,,,,29,47,34,35,61,100,80,
Cumberland County Schools,260459,William T Brown Elementary,Sandhills,D,46.0,D,46.0,D,47.0,Met,82.8,37,37,37,33,,,,,,,,
Cumberland County Schools,260700,Howard Health & Life Sciences,Sandhills,A,90.0,,,,,Exceeded,97.8,89,,,,86,78,91,86,,100,100,Insufficient Data
Currituck County Schools,270304,Central Elementary,Northeast,C,59.0,C,60.0,C,55.0,Met,77.8,54,54,50,67,,,,,,,,
Currituck County Schools,270306,Currituck County High,Northeast,C,59.0,,,,,NotMet,54.0,60,,,,47,46,45,57,73,82,87,
Currituck County Schools,270308,Currituck County Middle,Northeast,B,71.0,B,70.0,C,64.0,Exceeded,91.4,66,66,57,84,100,,,,,,,
Currituck County Schools,270309,Jarvisburg Elementary,Northeast,C,67.0,C,69.0,C,59.0,Exceeded,86.4,63,65,54,84,,,,,,,,
Currituck County Schools,270310,Shawboro Elementary School,Northeast,C,64.0,C,67.0,C,62.0,Met,71.0,62,64,60,64,,,,,,,,
Currituck County Schools,270311,The JP Knapp ECH (i)School,Northeast,A,87.0,,,,,Exceeded,88.3,86,,,,90,80,77,81,,100,100,Insufficient Data
Currituck County Schools,270312,Knotts Island Elementary,Northeast,B,70.0,C,69.0,B,72.0,Met,71.4,70,67,72,71,,,,,,,,
Currituck County Schools,270316,Moyock Elementary,Northeast,C,69.0,B,70.0,C,67.0,Met,75.6,67,68,65,72,,,,,,,,
Currituck County Schools,270318,Moyock Middle,Northeast,C,63.0,C,67.0,D,50.0,Met,71.6,60,67,42,79,93,,,,,,,
Currituck County Schools,270320,W T Griggs Elementary,Northeast,C,57.0,C,55.0,C,62.0,NotMet,68.9,55,49,61,51,,,,,,,,
Dare County Schools,280302,Cape Hatteras Elementary School,Northeast,C,67.0,C,62.0,C,67.0,Met,75.7,64,57,67,77,,,,,,,,
Dare County Schools,280304,Cape Hatteras Secondary School,Northeast,C,56.0,C,55.0,D,40.0,NotMet,53.3,57,50,37,55,60,67,63,68,,75,91,
Dare County Schools,280306,Dare County Alternative School,Northeast,,,,,,,,,,,,,,,,,,,,
Dare County Schools,280308,Kitty Hawk Elementary School,Northeast,B,79.0,B,78.0,B,74.0,Exceeded,92.1,76,76,70,90,,,,,,,,
Dare County Schools,280310,Nags Head Elementary School,Northeast,B,75.0,B,72.0,B,76.0,Exceeded,88.2,72,70,71,81,,,,,,,,
Dare County Schools,280312,Manteo Elementary School,Northeast,C,55.0,C,56.0,C,57.0,NotMet,69.1,51,50,53,52,,,,,,,,
Dare County Schools,280316,Manteo High School,Northeast,B,76.0,,,,,Exceeded,90.6,73,,,,74,65,50,63,58,100,95,
Dare County Schools,280320,Manteo Middle School,Northeast,C,63.0,C,65.0,D,52.0,Met,78.1,60,61,47,84,100,,,,,,,
Dare County Schools,280324,First Flight Elementary School,Northeast,B,71.0,B,70.0,B,73.0,Met,77.1,69,68,71,68,,,,,,,,
Dare County Schools,280328,First Flight Middle School,Northeast,C,63.0,C,67.0,D,53.0,NotMet,52.7,65,68,53,87,100,,,,,,,
Dare County Schools,280330,First Flight High School,Northeast,B,80.0,,,,,Met,81.0,80,,,,64,79,66,76,74,100,100,
Davidson County Schools,290302,Brier Creek Elementary,Piedmont-Triad,C,63.0,C,60.0,C,64.0,Met,75.0,60,54,63,65,,,,,,,,
Davidson County Schools,290306,Northwest Elementary,Piedmont-Triad,C,69.0,C,65.0,B,70.0,Met,79.1,66,62,68,75,,,,,,,,
Davidson County Schools,290307,Southmont Elementary,Piedmont-Triad,C,66.0,C,64.0,C,66.0,Exceeded,88.3,60,59,61,61,,,,,,,,
Davidson County Schools,290308,Central Davidson High,Piedmont-Triad,C,64.0,,,,,NotMet,59.1,65,,,,44,57,46,58,74,100,81,
Davidson County Schools,290309,Central Davidson Middle,Piedmont-Triad,C,55.0,C,64.0,D,44.0,NotMet,58.7,54,60,41,62,91,,,,,,,
Davidson County Schools,290310,Stoner-Thomas School,Piedmont-Triad,,,,,,,,,,,,,,,,,,,,
Davidson County Schools,290312,Churchland Elementary,Piedmont-Triad,C,55.0,D,48.0,C,59.0,NotMet,63.7,53,44,57,64,,,,,,,,
Davidson County Schools,290314,Davidson County High School,Piedmont-Triad,,,,,,,,,,,,,,,,,,,,
Davidson County Schools,290315,Davidson Early College,Piedmont-Triad,A,91.0,,,,,Met,83.4,93,,,,95,100,70,86,,100,100,Insufficient Data
Davidson County Schools,290316,Davis-Townsend Elementary,Piedmont-Triad,C,64.0,C,63.0,C,69.0,NotMet,69.6,63,61,66,56,,,,,,,,
Davidson County Schools,290320,Denton Elementary,Piedmont-Triad,C,55.0,D,52.0,C,58.0,Met,79.5,49,46,51,50,,,,,,,,
Davidson County Schools,290322,E Lawson Brown Middle,Piedmont-Triad,C,60.0,D,51.0,C,55.0,Met,79.4,55,49,48,80,88,,,,,,,
Davidson County Schools,290324,East Davidson High,Piedmont-Triad,C,68.0,,,,,NotMet,59.4,70,,,,62,52,58,64,76,100,85,
Davidson County Schools,290328,Fair Grove Elementary,Piedmont-Triad,C,66.0,C,63.0,B,70.0,Met,80.1,62,58,67,59,,,,,,,,
Davidson County Schools,290330,Friedberg Elementary,Piedmont-Triad,C,69.0,C,69.0,C,66.0,Met,72.7,68,65,68,72,,,,,,,,
Davidson County Schools,290332,Hasty Elementary,Piedmont-Triad,B,71.0,C,62.0,B,73.0,Exceeded,88.4,67,57,71,85,,,,,,,,
Davidson County Schools,290333,Friendship Elementary,Piedmont-Triad,B,75.0,B,72.0,B,74.0,Exceeded,86.3,72,68,73,79,,,,,,,,
Davidson County Schools,290334,Ledford Middle,Piedmont-Triad,C,59.0,C,65.0,D,51.0,NotMet,59.8,59,61,48,76,74,,,,,,,
Davidson County Schools,290336,Ledford Senior High,Piedmont-Triad,B,80.0,,,,,Exceeded,92.1,77,,,,66,70,70,69,81,100,85,
Davidson County Schools,290344,Midway Elementary,Piedmont-Triad,B,73.0,C,66.0,B,75.0,Exceeded,91.4,68,63,71,79,,,,,,,,
Davidson County Schools,290348,North Davidson High,Piedmont-Triad,B,78.0,,,,,Exceeded,85.8,76,,,,70,70,69,66,82,100,87,
