District Name,unit_code,School Name,SBE District,SPG Grade,SPG Score,Reading SPG Score,Reading SPG Grade,Math SPG Score,Math SPG Grade,EVAAS Growth Status,EVAAS Growth Score,Overall Achievement Score,Reading Score,Math Score,Science Score,NC Math 1 Score,English II Score,Biology Score,ACT Score,ACT WorkKeys Score,Passing NC Math 3,4-Year Cohort Graduation Rate Score,State Gap Compared
Alamance-Burlington Schools,010303,Alamance-Burlington Middle/Early College,Piedmont-Triad,A,93.0,,,,,Met,80.7,100,,,,100,100,91,84,100,100,100,N
Alamance-Burlington Schools,010304,Alexander Wilson Elementary,Piedmont-Triad,C,68.0,63.0,C,72.0,B,Exceeded,88.1,63,58,67,66,,,,,,,,
Alamance-Burlington Schools,010308,Altamahaw Ossipee Elem,Piedmont-Triad,C,63.0,55.0,C,68.0,C,Exceeded,86.6,58,51,61,69,,,,,,,,
Alamance-Burlington Schools,010310,Broadview Middle,Piedmont-Triad,F,39.0,38.0,F,34.0,F,Met,77.7,30,29,22,50,89,,,,,,,
Alamance-Burlington Schools,010311,Career Technical Education Center,Piedmont-Triad,I,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010312,Highland Elementary,Piedmont-Triad,C,63.0,61.0,C,65.0,C,NotMet,57.4,64,63,62,74,,,,,,,,
Alamance-Burlington Schools,010320,E M Yoder Elementary,Piedmont-Triad,B,72.0,72.0,B,71.0,B,Met,81.7,69,69,69,70,,,,,,,,
Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,B,74.0,,,,,Exceeded,90.0,70,,,,64,64,61,59,79,86,84,
Alamance-Burlington Schools,010326,Eastlawn Elementary,Piedmont-Triad,D,47.0,43.0,D,52.0,D,Met,77.1,40,33,46,41,,,,,,,,
Alamance-Burlington Schools,010328,Edwin M Holt Elementary,Piedmont-Triad,B,71.0,69.0,C,71.0,B,Met,74.5,71,67,70,84,,,,,,,,
Alamance-Burlington Schools,010340,Elon Elementary,Piedmont-Triad,C,61.0,59.0,C,59.0,C,Met,70.7,58,58,53,73,,,,,,,,
Alamance-Burlington Schools,010346,B Everett Jordan Elem,Piedmont-Triad,C,55.0,57.0,C,56.0,C,NotMet,63.8,53,54,52,54,,,,,,,,
Alamance-Burlington Schools,010347,Garrett Elementary,Piedmont-Triad,C,57.0,52.0,D,60.0,C,Met,71.8,53,50,54,59,,,,,,,,
Alamance-Burlington Schools,010348,Graham High,Piedmont-Triad,C,60.0,,,,,Exceeded,86.1,54,,,,38,39,28,36,62,100,79,
Alamance-Burlington Schools,010350,Graham Middle,Piedmont-Triad,D,44.0,43.0,D,40.0,D,Met,77.9,36,35,30,52,91,,,,,,,
Alamance-Burlington Schools,010351,Grove Park Elementary,Piedmont-Triad,C,55.0,49.0,D,55.0,C,Exceeded,91.4,46,40,46,61,,,,,,,,
Alamance-Burlington Schools,010353,Hawfields Middle,Piedmont-Triad,B,71.0,64.0,C,67.0,C,Exceeded,91.7,65,58,62,87,100,,,,,,,
Alamance-Burlington Schools,010354,Harvey R Newlin Elementary,Piedmont-Triad,F,37.0,40.0,D,37.0,F,NotMet,62.0,31,33,29,29,,,,,,,,
Alamance-Burlington Schools,010357,Haw River Elementary,Piedmont-Triad,F,39.0,40.0,D,43.0,D,Met,70.8,32,30,34,28,,,,,,,,
Alamance-Burlington Schools,010358,Hillcrest Elementary,Piedmont-Triad,F,34.0,37.0,F,34.0,F,NotMet,52.4,30,31,29,29,,,,,,,,
Alamance-Burlington Schools,010360,Hugh M Cummings High,Piedmont-Triad,C,65.0,,,,,Exceeded,100.0,56,,,,37,40,75,27,79,92,70,
Alamance-Burlington Schools,010362,Marvin B Smith Elementary,Piedmont-Triad,B,78.0,74.0,B,78.0,B,Exceeded,88.7,75,72,76,85,,,,,,,,
Alamance-Burlington Schools,010364,North Graham Elementary,Piedmont-Triad,D,51.0,46.0,D,55.0,C,Met,77.6,45,39,48,51,,,,,,,,
Alamance-Burlington Schools,010372,Pleasant Grove Elementary,Piedmont-Triad,C,59.0,60.0,C,55.0,C,Met,74.0,56,56,52,67,,,,,,,,
Alamance-Burlington Schools,010374,R Homer Andrews Elementary,Piedmont-Triad,D,48.0,47.0,D,47.0,D,Met,70.7,42,40,41,54,,,,,,,,
Alamance-Burlington Schools,010378,Ray Street Academy,Piedmont-Triad,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010380,South Graham Elementary,Piedmont-Triad,D,42.0,42.0,D,46.0,D,NotMet,68.3,35,35,38,25,,,,,,,,
Alamance-Burlington Schools,010384,South Mebane Elementary,Piedmont-Triad,B,71.0,67.0,C,73.0,B,Exceeded,91.7,66,63,68,73,,,,,,,,
Alamance-Burlington Schools,010388,Southern High,Piedmont-Triad,C,69.0,,,,,Met,84.2,65,,,,52,58,56,53,70,92,85,
Alamance-Burlington Schools,010390,Southern Middle,Piedmont-Triad,C,64.0,59.0,C,61.0,C,Met,78.5,61,55,56,80,100,,,,,,,
Alamance-Burlington Schools,010392,Sylvan Elementary,Piedmont-Triad,C,61.0,56.0,C,61.0,C,Met,79.0,56,50,56,77,,,,,,,,
Alamance-Burlington Schools,010394,Turrentine Middle,Piedmont-Triad,D,46.0,51.0,D,37.0,F,NotMet,54.1,44,47,32,57,100,,,,,,,
Alamance-Burlington Schools,010396,Walter M Williams High,Piedmont-Triad,B,72.0,,,,,Exceeded,96.0,66,,,,50,61,47,51,70,94,90,
Alamance-Burlington Schools,010400,Western Alamance High,Piedmont-Triad,C,66.0,,,,,NotMet,56.8,68,,,,60,58,52,56,60,100,92,
Alamance-Burlington Schools,010403,Western Middle,Piedmont-Triad,B,70.0,66.0,C,64.0,C,Exceeded,93.0,64,62,56,78,100,,,,,,,
Alamance-Burlington Schools,010406,Woodlawn Middle,Piedmont-Triad,B,72.0,67.0,C,69.0,C,Exceeded,90.8,67,62,64,78,100,,,,,,,
Alexander County Schools,020302,Alexander Central High,Northwest,C,69.0,,,,,Met,72.6,68,,,,54,56,56,65,67,94,86,
Alexander County Schools,020303,Alexander Early College,Northwest,B,80.0,,,,,Met,79.0,81,,,,81,,,,,,,
Alexander County Schools,020304,Bethlehem Elementary,Northwest,B,73.0,67.0,C,73.0,B,Met,84.7,70,63,70,86,,,,,,,,
Alexander County Schools,020306,East Alexander Middle,Northwest,C,57.0,55.0,C,51.0,D,Met,73.3,54,53,43,78,100,,,,,,,
Alexander County Schools,020308,Ellendale Elementary,Northwest,C,66.0,66.0,C,70.0,B,NotMet,63.7,67,62,73,64,,,,,,,,
Alexander County Schools,020316,Hiddenite Elementary,Northwest,C,62.0,56.0,C,65.0,C,NotMet,69.7,60,53,62,75,,,,,,,,
Alexander County Schools,020320,Stony Point Elementary,Northwest,C,67.0,59.0,C,70.0,B,Exceeded,87.0,62,54,65,82,,,,,,,,
Alexander County Schools,020324,Sugar Loaf Elementary,Northwest,C,68.0,65.0,C,66.0,C,Met,77.1,66,61,65,84,,,,,,,,
Alexander County Schools,020328,Taylorsville Elementary,Northwest,B,72.0,68.0,C,79.0,B,Met,80.9,70,63,81,56,,,,,,,,
Alexander County Schools,020330,West Alexander Middle,Northwest,C,64.0,58.0,C,59.0,C,Met,81.6,60,58,50,86,100,,,,,,,
Alexander County Schools,020332,Wittenburg Elementary,Northwest,B,72.0,67.0,C,73.0,B,Met,83.8,69,64,71,81,,,,,,,,
Alleghany County Schools,030304,Alleghany High,Northwest,C,62.0,,,,,NotMet,55.8,63,,,,47,55,44,55,67,100,86,
Alleghany County Schools,030308,Glade Creek Elementary,Northwest,C,63.0,60.0,C,59.0,C,Met,81.7,58,54,54,84,,,,,,,,
Alleghany County Schools,030316,Piney Creek Elementary,Northwest,C,67.0,68.0,C,60.0,C,NotMet,67.9,67,66,59,86,,,,,,,,
Alleghany County Schools,030320,Sparta Elementary,Northwest,D,53.0,56.0,C,50.0,D,NotMet,56.1,53,51,49,69,,,,,,,,
Anson County Schools,040304,Anson Co. Early College High,Southwest,B,77.0,,,,,Met,76.4,77,,,,69,72,71,71,,100,92,
Anson County Schools,040305,Anson Academy,Southwest,,,,,,,,,,,,,,,,,,,,
Anson County Schools,040306,Anson High School,Southwest,D,54.0,,,,,Met,73.4,49,,,,43,33,31,29,56,100,84,
Anson County Schools,040308,Ansonville Elementary,Southwest,B,80.0,74.0,B,83.0,B,Exceeded,86.8,78,72,82,89,,,,,,,,
Anson County Schools,040309,Anson Middle,Southwest,D,46.0,41.0,D,39.0,F,NotMet,58.9,43,37,32,65,95,,,,,,,
Anson County Schools,040311,Wadesboro Primary,Southwest,F,35.0,36.0,F,34.0,F,Met,75.7,25,29,20,,,,,,,,,
Anson County Schools,040316,Lilesville Elementary,Southwest,D,51.0,49.0,D,50.0,D,Met,82.4,43,42,41,53,,,,,,,,
Anson County Schools,040324,Morven Elementary,Southwest,D,51.0,51.0,D,55.0,C,Met,73.2,46,45,49,35,,,,,,,,
Anson County Schools,040328,Peachland-Polkton Elem,Southwest,C,69.0,73.0,B,60.0,C,Met,81.8,65,71,56,83,,,,,,,,
Anson County Schools,040330,Wadesboro Elementary,Southwest,D,43.0,45.0,D,28.0,F,Met,82.1,33,35,17,64,,,,,,,,
Anson County Schools,040700,Anson New Tech High,Southwest,C,67.0,,,,,Met,84.3,62,,,,34,55,59,25,,100,88,
Ashe County Schools,050302,Ashe County High,Northwest,C,68.0,,,,,NotMet,57.2,71,,,,53,62,61,69,76,90,88,
Ashe County Schools,050305,Ashe County Middle,Northwest,C,63.0,62.0,C,55.0,C,NotMet,66.3,63,61,52,84,,,,,,,,
Ashe County Schools,050310,Blue Ridge Elementary,Northwest,C,67.0,67.0,C,65.0,C,Exceeded,85.1,62,63,60,71,,,,,,,,
Ashe County Schools,050330,Mountain View Elementary,Northwest,B,72.0,69.0,C,73.0,B,Exceeded,91.9,67,64,69,72,,,,,,,,
Ashe County Schools,050335,Westwood Elementary,Northwest,B,74.0,70.0,B,74.0,B,Exceeded,91.7,70,67,69,82,,,,,,,,
Avery County Schools,060302,Avery County High,Northwest,B,70.0,,,,,Met,75.7,68,,,,51,55,49,27,78,100,100,
Avery County Schools,060304,Banner Elk Elementary,Northwest,B,71.0,68.0,C,70.0,B,Met,81.4,69,65,68,82,,,,,,,,
Avery County Schools,060310,Cranberry Middle,Northwest,B,73.0,73.0,B,68.0,C,Met,81.8,71,71,64,77,100,,,,,,,
Avery County Schools,060316,Crossnore Elementary,Northwest,B,82.0,74.0,B,86.0,A,Exceeded,92.0,80,71,85,89,,,,,,,,
Avery County Schools,060318,Avery Middle,Northwest,C,61.0,63.0,C,52.0,D,NotMet,60.7,61,61,50,85,100,,,,,,,
Avery County Schools,060322,Freedom Trail Elementary,Northwest,B,75.0,72.0,B,70.0,B,Exceeded,91.9,71,68,66,92,,,,,,,,
Avery County Schools,060328,Newland Elementary,Northwest,B,71.0,66.0,C,71.0,B,Exceeded,85.0,67,62,67,86,,,,,,,,
Avery County Schools,060332,Riverside Elementary,Northwest,C,63.0,61.0,C,62.0,C,Met,83.6,58,56,56,67,,,,,,,,
Avery County Schools,060334,Blue Ridge Academy,Northwest,,,,,,,,,,,,,,,,,,,,
Avery County Schools,060700,Avery High STEM Academy,Northwest,A,92.0,,,,,Met,82.5,94,,,,,93,100,90,100,100,100,N
Avery County Schools,060701,Avery High Viking Academy,Northwest,B,74.0,,,,,Met,74.7,74,,,,63,,94,,,,,
Beaufort County Schools,070302,Eastern Elementary,Northeast,I,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070308,Bath Elementary,Northeast,C,67.0,68.0,C,62.0,C,NotMet,65.3,67,67,63,77,100,,,,,,,
Beaufort County Schools,070310,B C Ed Tech Center,Northeast,,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070311,Beaufort Co Early College High,Northeast,A,95.0,,,,,Exceeded,90.7,100,,,,100,100,88,100,,100,100,N
Beaufort County Schools,070325,Chocowinity Middle,Northeast,C,62.0,64.0,C,58.0,C,NotMet,69.2,60,61,54,69,94,,,,,,,
Beaufort County Schools,070326,Chocowinity Primary,Northeast,B,75.0,73.0,B,76.0,B,Met,83.8,73,68,78,,,,,,,,,
Beaufort County Schools,070327,John C Tayloe Elementary,Northeast,C,63.0,59.0,C,62.0,C,Exceeded,89.9,57,51,62,,,,,,,,,
Beaufort County Schools,070328,John Small Elementary,Northeast,C,55.0,59.0,C,50.0,D,NotMet,55.8,55,55,49,65,,,,,,,,
Beaufort County Schools,070329,Northeast Elementary,Northeast,C,60.0,56.0,C,57.0,C,Met,82.7,54,49,50,74,100,,,,,,,
Beaufort County Schools,070330,Northside High,Northeast,C,63.0,,,,,NotMet,54.2,65,,,,43,51,42,64,80,100,91,
Beaufort County Schools,070338,P S Jones Middle,Northeast,C,55.0,56.0,C,48.0,D,Met,83.7,48,49,39,62,100,,,,,,,
Beaufort County Schools,070339,Southside High,Northeast,D,54.0,,,,,NotMet,56.7,54,,,,40,45,28,42,82,100,84,
Beaufort County Schools,070340,S W Snowden Elementary,Northeast,D,48.0,47.0,D,42.0,D,Met,83.1,39,39,31,58,63,,,,,,,
Beaufort County Schools,070342,Washington High,Northeast,D,51.0,,,,,NotMet,50.0,52,,,,40,34,22,42,71,100,82,
Bertie County Schools,080311,Bertie Early College High,Northeast,B,78.0,,,,,Met,73.4,80,,,,61,76,74,81,67,100,100,
Bertie County Schools,080312,Bertie High,Northeast,D,41.0,,,,,NotMet,57.5,37,,,,10,20,28,12,35,100,80,
Bertie County Schools,080314,Bertie Middle,Northeast,D,54.0,54.0,D,44.0,D,Exceeded,89.0,46,45,35,73,100,,,,,,,
Bertie County Schools,080348,Aulander Elementary,Northeast,C,60.0,56.0,C,63.0,C,Met,83.3,54,49,58,59,,,,,,,,
Bertie County Schools,080356,West Bertie Elementary,Northeast,C,58.0,55.0,C,55.0,C,Exceeded,87.0,51,49,46,70,,,,,,,,
Bertie County Schools,080360,Colerain Elementary,Northeast,C,66.0,59.0,C,72.0,B,Exceeded,93.4,60,52,67,63,,,,,,,,
Bertie County Schools,080362,Windsor Elementary,Northeast,C,63.0,56.0,C,67.0,C,Exceeded,86.5,57,50,62,61,,,,,,,,
Bertie County Schools,080700,Bertie STEM High,Northeast,B,70.0,,,,,NotMet,61.6,72,,,,64,74,50,42,77,100,100,
Bladen County Schools,090304,B T Washington Primary,Sandhills,D,49.0,50.0,D,46.0,D,NotMet,56.7,47,46,43,61,,,,,,,,
Bladen County Schools,090315,Bladenboro Middle,Sandhills,C,55.0,55.0,C,45.0,D,Met,82.7,48,48,38,69,,,,,,,,
Bladen County Schools,090317,Bladenboro Primary,Sandhills,C,64.0,57.0,C,72.0,B,Met,82.4,60,51,68,,,,,,,,,
Bladen County Schools,090318,Bladen Lakes Primary,Sandhills,C,68.0,64.0,C,72.0,B,Exceeded,86.4,64,60,68,,,,,,,,,
Bladen County Schools,090320,Clarkton School of Discovery,Sandhills,B,71.0,73.0,B,59.0,C,Exceeded,87.6,67,68,54,84,100,,,,,,,
Bladen County Schools,090324,Dublin Primary,Sandhills,C,66.0,62.0,C,70.0,B,Met,80.2,62,57,67,,,,,,,,,
Bladen County Schools,090328,East Arcadia Elementary,Sandhills,D,49.0,46.0,D,48.0,D,Met,83.5,40,39,38,54,,,,,,,,
Bladen County Schools,090330,East Bladen High,Sandhills,C,63.0,,,,,NotMet,69.2,61,,,,55,43,42,37,63,100,89,
Bladen County Schools,090332,Elizabethtown Middle,Sandhills,D,54.0,55.0,C,45.0,D,NotMet,69.9,50,49,40,68,91,,,,,,,
Bladen County Schools,090333,Elizabethtown Primary,Sandhills,C,58.0,57.0,C,58.0,C,Exceeded,86.1,51,51,50,,,,,,,,,
Bladen County Schools,090352,Plain View Primary,Sandhills,C,66.0,61.0,C,70.0,B,Met,82.7,61,57,66,,,,,,,,,
Bladen County Schools,090365,Tar Heel Middle,Sandhills,D,54.0,57.0,C,39.0,F,Met,76.0,49,50,35,73,,,,,,,,
Bladen County Schools,090368,West Bladen High,Sandhills,C,65.0,,,,,Exceeded,86.1,60,,,,41,52,43,36,71,100,87,
Brunswick County Schools,100302,Belville Elementary,Southeast,C,68.0,65.0,C,63.0,C,Met,77.2,65,60,63,86,,,,,,,,
Brunswick County Schools,100304,Bolivia Elementary,Southeast,C,59.0,53.0,D,65.0,C,NotMet,65.2,58,50,63,68,,,,,,,,
Brunswick County Schools,100307,Brunswick County Early College,Southeast,A,96.0,,,,,Exceeded,89.0,100,,,,100,93,100,100,,100,100,N
Brunswick County Schools,100308,Brunswick County Academy,Southeast,,,,,,,,,,,,,,,,,,,,
Brunswick County Schools,100309,Cedar Grove Middle,Southeast,C,55.0,55.0,C,45.0,D,Exceeded,88.5,46,48,35,71,100,,,,,,,
Brunswick County Schools,100310,Jessie Mae Monroe Elementary,Southeast,D,45.0,45.0,D,42.0,D,NotMet,58.3,42,41,38,59,,,,,,,,
Brunswick County Schools,100316,Leland Middle,Southeast,D,52.0,57.0,C,39.0,F,NotMet,64.8,49,49,36,80,89,,,,,,,
Brunswick County Schools,100320,Lincoln Elementary,Southeast,C,57.0,52.0,D,55.0,C,Met,81.2,52,44,51,76,,,,,,,,
Brunswick County Schools,100326,North Brunswick High,Southeast,B,73.0,,,,,Exceeded,100.0,66,,,,55,61,66,40,66,100,83,
Brunswick County Schools,100332,Shallotte Middle,Southeast,C,58.0,57.0,C,49.0,D,Met,75.6,54,55,41,82,100,,,,,,,
Brunswick County Schools,100334,South Brunswick High,Southeast,B,75.0,,,,,Exceeded,91.3,71,,,,58,58,61,62,75,100,85,
Brunswick County Schools,100335,South Brunswick Middle,Southeast,C,62.0,61.0,C,51.0,D,Met,84.6,56,56,44,79,100,,,,,,,
Brunswick County Schools,100336,Southport Elementary,Southeast,C,57.0,59.0,C,53.0,D,NotMet,60.0,56,56,51,66,,,,,,,,
Brunswick County Schools,100338,Supply Elementary,Southeast,D,49.0,50.0,D,48.0,D,NotMet,64.5,45,44,43,56,,,,,,,,
Brunswick County Schools,100339,Town Creek Elementary,Southeast,C,62.0,58.0,C,61.0,C,Met,76.7,58,53,59,76,,,,,,,,
Brunswick County Schools,100340,Union Elementary,Southeast,B,81.0,77.0,B,79.0,B,Exceeded,91.7,78,73,79,89,,,,,,,,
Brunswick County Schools,100342,Virginia Williamson Elem,Southeast,C,59.0,60.0,C,56.0,C,NotMet,58.8,59,57,57,70,,,,,,,,
Brunswick County Schools,100344,Waccamaw,Southeast,C,66.0,59.0,C,60.0,C,Met,83.8,61,54,57,89,94,,,,,,,
Brunswick County Schools,100348,West Brunswick High,Southeast,B,77.0,,,,,Exceeded,95.5,72,,,,63,67,67,58,72,100,86,
Buncombe County Schools,110303,Community High School,Western,,,,,,,,,,,,,,,,,,,,
Buncombe County Schools,110304,Reynolds High,Western,B,72.0,,,,,NotMet,64.7,73,,,,64,65,51,69,82,100,93,
Buncombe County Schools,110306,Reynolds Middle,Western,C,63.0,64.0,C,54.0,D,Met,76.7,60,59,50,79,100,,,,,,,
Buncombe County Schools,110308,Barnardsville Elementary,Western,C,67.0,68.0,C,65.0,C,Met,76.5,64,65,63,,,,,,,,,
Buncombe County Schools,110318,Black Mountain Elementary,Western,B,70.0,62.0,C,67.0,C,Met,80.2,67,61,63,86,,,,,,,,
Buncombe County Schools,110320,Black Mountain Primary,Western,B,71.0,69.0,C,72.0,B,Met,76.2,69,67,72,,,,,,,,,
Buncombe County Schools,110322,Early College,Western,A+NG,88.0,,,,,Met,78.7,90,,,,88,91,70,100,,100,100,Y
Buncombe County Schools,110323,Middle College,Western,B,83.0,,,,,,,83,,,,,,40,53,60,100,94,
Buncombe County Schools,110324,Candler Elementary,Western,C,61.0,60.0,C,63.0,C,NotMet,67.8,59,57,62,,,,,,,,,
Buncombe County Schools,110326,Cane Creek Middle,Western,B,74.0,72.0,B,69.0,C,Met,74.4,75,72,67,91,100,,,,,,,
Buncombe County Schools,110332,Bell Elementary,Western,C,62.0,59.0,C,66.0,C,NotMet,56.8,64,59,65,70,,,,,,,,
Buncombe County Schools,110336,Owen High,Western,B,75.0,,,,,Exceeded,86.0,72,,,,55,72,59,52,81,100,95,
Buncombe County Schools,110338,Owen Middle,Western,C,63.0,59.0,C,59.0,C,NotMet,69.2,62,58,54,85,100,,,,,,,
Buncombe County Schools,110340,Erwin High,Western,B,70.0,,,,,Exceeded,93.1,64,,,,48,50,60,42,68,100,86,
Buncombe County Schools,110342,Erwin Middle,Western,D,52.0,50.0,D,43.0,D,NotMet,57.1,51,47,39,69,100,,,,,,,
Buncombe County Schools,110348,Emma Elementary,Western,C,63.0,58.0,C,68.0,C,Exceeded,92.0,56,51,61,,,,,,,,,
Buncombe County Schools,110352,Enka High,Western,C,68.0,,,,,NotMet,61.7,70,,,,44,59,73,51,82,100,87,
Buncombe County Schools,110356,Fairview Elementary,Western,B,77.0,75.0,B,75.0,B,Exceeded,90.2,74,73,72,82,,,,,,,,
Buncombe County Schools,110366,Glen Arden Elementary,Western,C,69.0,67.0,C,73.0,B,NotMet,61.4,71,68,73,,,,,,,,,
Buncombe County Schools,110368,Haw Creek Elementary,Western,B,75.0,74.0,B,75.0,B,Met,83.6,73,73,73,76,,,,,,,,
Buncombe County Schools,110370,Hominy Valley Elementary,Western,B,79.0,79.0,B,79.0,B,Met,84.1,78,78,78,,,,,,,,,
Buncombe County Schools,110372,Johnston Elementary,Western,D,43.0,39.0,F,47.0,D,Met,73.5,35,30,40,,,,,,,,,
Buncombe County Schools,110376,Leicester Elementary,Western,D,52.0,51.0,D,55.0,C,NotMet,61.3,50,48,51,,,,,,,,,
Buncombe County Schools,110379,North Buncombe Elementary,Western,C,64.0,59.0,C,68.0,C,Exceeded,91.1,57,54,60,,,,,,,,,
Buncombe County Schools,110380,North Buncombe High,Western,B,80.0,,,,,Exceeded,89.5,77,,,,77,65,67,62,87,100,90,
Buncombe County Schools,110381,North Buncombe Middle,Western,C,64.0,59.0,C,58.0,C,NotMet,59.6,65,59,57,80,100,,,,,,,
Buncombe County Schools,110382,North Windy Ridge Intermediate,Western,B,74.0,72.0,B,72.0,B,Exceeded,93.9,69,68,67,75,,,,,,,,
Buncombe County Schools,110384,Oakley Elementary,Western,D,52.0,47.0,D,53.0,D,Met,84.8,44,39,44,65,,,,,,,,
Buncombe County Schools,110388,Pisgah Elementary,Western,C,68.0,62.0,C,74.0,B,Met,74.9,67,60,73,,,,,,,,,
Buncombe County Schools,110401,Enka Middle,Western,C,62.0,61.0,C,54.0,D,Met,80.5,58,56,46,74,100,,,,,,,
Buncombe County Schools,110408,Sand Hill-Venable Elem,Western,C,62.0,59.0,C,65.0,C,Met,80.0,58,54,61,,,,,,,,,
Buncombe County Schools,110410,Avery's Creek Elementary,Western,C,60.0,58.0,C,63.0,C,Met,75.4,56,54,58,,,,,,,,,
Buncombe County Schools,110412,Williams Elementary,Western,C,63.0,65.0,C,58.0,C,Met,73.0,61,60,58,74,,,,,,,,
Buncombe County Schools,110416,Roberson High,Western,B,70.0,,,,,NotMet,57.5,74,,,,58,71,59,65,77,100,90,
Buncombe County Schools,110420,Valley Springs Middle,Western,B,76.0,68.0,C,74.0,B,Exceeded,92.2,72,66,68,82,100,,,,,,,
Buncombe County Schools,110422,Estes Elementary,Western,B,71.0,69.0,C,73.0,B,Met,83.0,69,67,71,,,,,,,,,
Buncombe County Schools,110425,Enka Intermediate,Western,C,57.0,59.0,C,54.0,D,NotMet,53.3,58,59,54,68,,,,,,,,
Buncombe County Schools,110428,Weaverville Elementary,Western,B,75.0,74.0,B,75.0,B,Exceeded,87.3,71,71,72,,,,,,,,,
Buncombe County Schools,110432,Weaverville Primary,Western,I,,,,,,,,,,,,,,,,,,,
Buncombe County Schools,110436,West Buncombe Elementary,Western,B,73.0,68.0,C,78.0,B,Met,81.6,71,65,77,,,,,,,,,
Buncombe County Schools,110444,Woodfin Elementary,Western,D,53.0,52.0,D,54.0,D,Met,82.4,46,48,44,,,,,,,,,
Buncombe County Schools,110450,Koontz Intermediate,Western,C,63.0,64.0,C,57.0,C,NotMet,62.6,63,63,56,79,,,,,,,,
Buncombe County Schools,110451,Eblen Intermediate,Western,C,57.0,51.0,D,63.0,C,NotMet,60.9,56,49,60,63,,,,,,,,
Buncombe County Schools,110500,Nesbitt Discovery Academy,Western,A+NG,90.0,,,,,NotMet,68.0,100,,,,100,100,90,95,,,,Y
Asheville City Schools,111302,Asheville High,Western,B,71.0,,,,,NotMet,60.7,73,,,,56,71,56,73,71,100,86,
Asheville City Schools,111304,Hall Fletcher Elementary,Western,B,72.0,70.0,B,72.0,B,Exceeded,87.2,68,66,69,73,,,,,,,,
Asheville City Schools,111306,Isaac Dickson Elementary,Western,B,70.0,67.0,C,75.0,B,Met,78.6,68,68,70,64,,,,,,,,
Asheville City Schools,111312,Claxton Elementary,Western,C,66.0,72.0,B,59.0,C,Met,72.7,64,69,57,71,,,,,,,,
Asheville City Schools,111332,Ira B Jones Elementary,Western,B,73.0,72.0,B,69.0,C,Exceeded,87.1,69,69,66,80,,,,,,,,
Asheville City Schools,111356,Asheville Middle,Western,C,60.0,63.0,C,52.0,D,NotMet,50.9,62,65,51,78,85,,,,,,,
Asheville City Schools,111360,Vance Elementary,Western,B,73.0,74.0,B,70.0,B,Met,77.8,72,72,70,81,,,,,,,,
Asheville City Schools,111700,School of Inquiry and Life Sciences,Western,B,84.0,,,,,Met,84.2,84,,,,73,87,75,85,100,100,100,
Burke County Schools,120304,Chesterfield Elementary,Northwest,C,63.0,58.0,C,63.0,C,Met,80.5,58,52,59,73,,,,,,,,
Burke County Schools,120308,Hallyburton Academy,Northwest,,,,,,,,,,,,,,,,,,,,
Burke County Schools,120310,Burke Middle College,Northwest,A,99.0,,,,,,,100,,,,,,,100,,100,100,N
Burke County Schools,120312,Drexel Elementary,Northwest,B,71.0,64.0,C,71.0,B,Exceeded,93.3,65,59,64,84,,,,,,,,
Burke County Schools,120314,East Burke High,Northwest,B,76.0,,,,,Met,74.2,76,,,,79,65,69,61,71,100,87,
Burke County Schools,120315,East Burke Middle,Northwest,C,68.0,67.0,C,61.0,C,Met,84.3,64,64,56,85,100,,,,,,,
Burke County Schools,120316,Forest Hill Elementary,Northwest,C,59.0,58.0,C,58.0,C,Met,74.9,56,55,52,72,,,,,,,,
Burke County Schools,120318,Freedom High,Northwest,C,65.0,,,,,NotMet,59.2,67,,,,49,61,53,55,69,100,93,
Burke County Schools,120320,George Hildebrand Elementary,Northwest,C,69.0,65.0,C,64.0,C,Exceeded,86.9,65,61,60,90,,,,,,,,
Burke County Schools,120324,Glen Alpine Elementary,Northwest,C,68.0,65.0,C,66.0,C,Met,81.8,65,60,64,85,,,,,,,,
Burke County Schools,120334,Heritage Middle,Northwest,B,72.0,67.0,C,68.0,C,Exceeded,86.5,68,66,62,86,100,,,,,,,
Burke County Schools,120338,Hildebran Elementary,Northwest,C,65.0,60.0,C,63.0,C,Exceeded,89.2,59,53,58,78,,,,,,,,
Burke County Schools,120340,Mountain Crest Elementary,Northwest,D,51.0,45.0,D,50.0,D,Met,80.8,44,37,43,68,,,,,,,,
Burke County Schools,120344,Icard Elementary,Northwest,B,76.0,73.0,B,73.0,B,Exceeded,89.2,73,69,70,95,,,,,,,,
Burke County Schools,120346,Jimmy C Draughn High School,Northwest,B,75.0,,,,,Met,70.1,76,,,,71,57,72,62,76,100,92,
Burke County Schools,120350,Liberty Middle,Northwest,B,70.0,73.0,B,60.0,C,Exceeded,86.4,66,70,53,85,100,,,,,,,
Burke County Schools,120352,North Liberty,Northwest,,,,,,,,,,,,,,,,,,,,
Burke County Schools,120360,Mull Elementary,Northwest,C,69.0,62.0,C,66.0,C,Exceeded,94.6,63,55,61,91,,,,,,,,
