LEA Name,unit_code,School Name,SBE Region,SPG Grade,SPG Score,Reading SPG Grade,Reading  SPG Score,Math SPG Grade,Math SPG Score,EVAAS Growth Status,EVAAS Growth Score,Overall Achievement Score,Read Score,Math Score,Science Score,Math I Score,English II Score,Biology Score,The ACT Score,ACT WorkKeys Score,Math Course Rigor Score,Cohort Graduation Rate Standard Score
Alamance-Burlington Schools,010303,Alamance-Burlington Middle College,5,A,85.0,,,,,,,85,,,,,,,61,57,100,100
Alamance-Burlington Schools,010304,Alexander Wilson Elementary,5,C,67.0,C,66.0,C,65.0,Exceeded,85.4,63,62,60,73,,,,,,,
Alamance-Burlington Schools,010308,Altamahaw Ossipee Elem,5,C,67.0,C,69.0,C,65.0,Met,77.3,65,65,65,65,,,,,,,
Alamance-Burlington Schools,010310,Broadview Middle,5,F,36.0,D,42.0,F,30.0,NotMet,58.6,31,34,22,41,100,,,,,,
Alamance-Burlington Schools,010311,Career Technical Education Center,5,I,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010312,Highland Elementary,5,B,74.0,B,74.0,B,72.0,Exceeded,85.0,71,73,68,76,,,,,,,
Alamance-Burlington Schools,010320,E M Yoder Elementary,5,C,69.0,B,72.0,C,62.0,Met,84.1,65,68,58,78,,,,,,,
Alamance-Burlington Schools,010324,Eastern Alamance High,5,C,69.0,,,,,Met,84.2,65,,,,57,52,62,58,86,88,81
Alamance-Burlington Schools,010326,Eastlawn Elementary,5,F,33.0,F,33.0,F,36.0,Met,74.7,23,22,24,20,,,,,,,
Alamance-Burlington Schools,010328,Edwin M Holt Elementary,5,C,64.0,C,65.0,C,65.0,NotMet,68.6,63,61,65,65,,,,,,,
Alamance-Burlington Schools,010340,Elon Elementary,5,C,66.0,C,63.0,C,62.0,Met,81.3,62,60,57,85,,,,,,,
Alamance-Burlington Schools,010346,B Everett Jordan Elem,5,D,50.0,C,55.0,D,49.0,NotMet,59.1,47,50,47,39,,,,,,,
Alamance-Burlington Schools,010347,Garrett Elementary,5,C,62.0,C,59.0,C,63.0,Met,81.8,57,53,59,63,,,,,,,
Alamance-Burlington Schools,010348,Graham High,5,D,51.0,,,,,NotMet,56.4,49,,,,31,39,31,31,62,100,76
Alamance-Burlington Schools,010350,Graham Middle,5,D,42.0,D,43.0,F,35.0,Met,78.4,33,34,23,45,91,,,,,,
Alamance-Burlington Schools,010351,Grove Park Elementary,5,D,48.0,D,48.0,D,45.0,Met,84.6,39,40,35,47,,,,,,,
Alamance-Burlington Schools,010353,Hawfields Middle,5,C,58.0,C,58.0,D,47.0,Met,76.5,53,53,42,78,93,,,,,,
Alamance-Burlington Schools,010354,Harvey R Newlin Elementary,5,F,38.0,F,39.0,F,37.0,Met,81.9,27,28,26,25,,,,,,,
Alamance-Burlington Schools,010357,Haw River Elementary,5,F,39.0,F,39.0,D,40.0,NotMet,63.1,33,31,34,37,,,,,,,
Alamance-Burlington Schools,010358,Hillcrest Elementary,5,D,50.0,D,49.0,D,46.0,Met,71.2,44,41,42,58,,,,,,,
Alamance-Burlington Schools,010360,Hugh M Cummings High,5,C,58.0,,,,,Exceeded,89.2,50,,,,48,39,41,28,72,81,67
Alamance-Burlington Schools,010362,Marvin B Smith Elementary,5,C,68.0,C,69.0,C,65.0,NotMet,54.4,71,70,69,84,,,,,,,
Alamance-Burlington Schools,010364,North Graham Elementary,5,D,40.0,D,44.0,D,42.0,NotMet,58.3,36,37,37,29,,,,,,,
Alamance-Burlington Schools,010372,Pleasant Grove Elementary,5,D,46.0,D,49.0,F,39.0,NotMet,69.4,40,43,32,54,,,,,,,
Alamance-Burlington Schools,010374,R Homer Andrews Elementary,5,D,48.0,D,43.0,D,52.0,Met,81.8,40,34,44,46,,,,,,,
Alamance-Burlington Schools,010378,Ray Street Academy,5,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010380,South Graham Elementary,5,D,47.0,D,48.0,D,45.0,Met,77.6,39,40,36,44,,,,,,,
Alamance-Burlington Schools,010384,South Mebane Elementary,5,B,73.0,B,74.0,B,70.0,Met,77.4,72,72,70,75,,,,,,,
Alamance-Burlington Schools,010388,Southern High,5,C,66.0,,,,,Met,71.8,64,,,,47,54,55,58,74,93,83
Alamance-Burlington Schools,010390,Southern Middle,5,C,56.0,C,57.0,D,53.0,NotMet,68.3,53,52,47,62,100,,,,,,
Alamance-Burlington Schools,010392,Sylvan Elementary,5,C,59.0,C,58.0,C,60.0,NotMet,56.8,60,57,60,68,,,,,,,
Alamance-Burlington Schools,010394,Turrentine Middle,5,D,47.0,D,52.0,F,39.0,NotMet,52.0,46,48,36,57,91,,,,,,
Alamance-Burlington Schools,010396,Walter M Williams High,5,C,66.0,,,,,Met,80.0,63,,,,51,57,39,55,74,92,90
Alamance-Burlington Schools,010400,Western Alamance High,5,C,69.0,,,,,NotMet,68.6,70,,,,55,60,54,64,76,100,91
Alamance-Burlington Schools,010403,Western Middle,5,C,61.0,C,63.0,D,53.0,Met,76.5,57,59,47,70,100,,,,,,
Alamance-Burlington Schools,010406,Woodlawn Middle,5,C,65.0,C,61.0,C,63.0,Met,84.5,60,56,57,69,100,,,,,,
Alexander County Schools,020302,Alexander Central High,7,B,73.0,,,,,Exceeded,87.9,69,,,,56,57,60,64,66,94,85
Alexander County Schools,020304,Bethlehem Elementary,7,C,66.0,C,68.0,C,66.0,NotMet,59.9,67,68,66,69,,,,,,,
Alexander County Schools,020306,East Alexander Middle,7,D,54.0,C,63.0,F,37.0,NotMet,66.2,51,58,33,71,100,,,,,,
Alexander County Schools,020308,Ellendale Elementary,7,C,63.0,C,67.0,C,64.0,NotMet,59.7,64,64,65,58,,,,,,,
Alexander County Schools,020316,Hiddenite Elementary,7,C,66.0,C,59.0,B,70.0,Met,80.4,62,55,67,70,,,,,,,
Alexander County Schools,020320,Stony Point Elementary,7,C,56.0,C,61.0,D,54.0,NotMet,59.7,56,59,52,56,,,,,,,
Alexander County Schools,020324,Sugar Loaf Elementary,7,C,68.0,C,65.0,C,67.0,Met,80.5,65,61,63,77,,,,,,,
Alexander County Schools,020328,Taylorsville Elementary,7,C,58.0,C,61.0,D,54.0,NotMet,60.4,57,57,54,66,,,,,,,
Alexander County Schools,020330,West Alexander Middle,7,C,65.0,C,68.0,D,50.0,Exceeded,91.5,58,62,43,83,100,,,,,,
Alexander County Schools,020332,Wittenburg Elementary,7,C,64.0,C,65.0,C,58.0,NotMet,67.5,64,61,59,84,,,,,,,
Alleghany County Schools,030304,Alleghany High,7,B,71.0,,,,,Met,82.5,68,,,,54,62,60,66,52,87,92
Alleghany County Schools,030308,Glade Creek Elementary,7,C,64.0,C,55.0,C,64.0,Met,84.2,59,50,58,79,100,,,,,,
Alleghany County Schools,030316,Piney Creek Elementary,7,B,80.0,B,76.0,B,80.0,Met,81.3,79,75,79,91,83,,,,,,
Alleghany County Schools,030320,Sparta Elementary,7,D,54.0,C,57.0,D,47.0,NotMet,59.9,53,53,44,75,89,,,,,,
Anson County Schools,040304,Anson Co. Early College High,6,C,65.0,,,,,Met,81.1,61,,,,33,64,51,62,,100,100
Anson County Schools,040305,Anson Academy,6,,,,,,,,,,,,,,,,,,,
Anson County Schools,040306,Anson High School,6,C,55.0,,,,,Met,81.3,49,,,,17,36,28,28,26,100,85
Anson County Schools,040308,Ansonville Elementary,6,C,61.0,C,62.0,C,59.0,Exceeded,90.1,53,55,53,51,,,,,,,
Anson County Schools,040309,Anson Middle,6,D,40.0,D,44.0,F,30.0,NotMet,57.2,36,38,24,57,,,,,,,
Anson County Schools,040311,Wadesboro Primary,6,F,35.0,D,43.0,F,30.0,NotMet,59.4,30,39,21,,,,,,,,
Anson County Schools,040316,Lilesville Elementary,6,D,49.0,D,50.0,D,46.0,Exceeded,91.5,38,41,35,41,,,,,,,
Anson County Schools,040324,Morven Elementary,6,D,43.0,F,38.0,D,47.0,Exceeded,91.7,31,27,34,35,,,,,,,
Anson County Schools,040328,Peachland-Polkton Elem,6,C,60.0,C,59.0,C,59.0,Exceeded,86.5,53,54,51,59,,,,,,,
Anson County Schools,040330,Wadesboro Elementary,6,F,37.0,F,39.0,F,35.0,Exceeded,85.8,25,28,22,26,,,,,,,
Anson County Schools,040700,Anson New Tech High,6,D,49.0,,,,,NotMet,59.5,46,,,,11,46,33,46,,100,100
Ashe County Schools,050302,Ashe County High,7,C,69.0,,,,,NotMet,65.2,71,,,,54,67,70,57,72,95,87
Ashe County Schools,050305,Ashe County Middle,7,B,70.0,B,71.0,C,62.0,Exceeded,89.2,66,67,56,83,,,,,,,
Ashe County Schools,050310,Blue Ridge Elementary,7,C,59.0,C,59.0,D,54.0,Exceeded,86.4,52,53,47,71,,,,,,,
Ashe County Schools,050330,Mountain View Elementary,7,B,73.0,B,70.0,B,71.0,Exceeded,97.6,66,64,65,81,,,,,,,
Ashe County Schools,050335,Westwood Elementary,7,B,71.0,B,71.0,C,69.0,Exceeded,88.9,66,66,65,71,,,,,,,
Avery County Schools,060302,Avery County High,7,C,66.0,,,,,NotMet,68.2,66,,,,0,37,42,58,78,100,100
Avery County Schools,060304,Banner Elk Elementary,7,C,69.0,C,64.0,C,68.0,Met,84.7,65,59,64,82,,,,,,,
Avery County Schools,060310,Cranberry Middle,7,B,71.0,B,72.0,C,66.0,Exceeded,94.0,66,68,59,83,,,,,,,
Avery County Schools,060316,Crossnore Elementary,7,B,79.0,B,74.0,B,77.0,Exceeded,93.4,75,72,73,88,,,,,,,
Avery County Schools,060318,Avery Middle,7,C,58.0,C,58.0,D,45.0,Met,80.0,53,53,38,81,100,,,,,,
Avery County Schools,060322,Freedom Trail Elementary,7,C,61.0,C,62.0,C,55.0,Exceeded,86.4,55,56,49,71,,,,,,,
Avery County Schools,060328,Newland Elementary,7,C,56.0,C,59.0,D,53.0,Met,80.4,50,54,45,54,,,,,,,
Avery County Schools,060332,Riverside Elementary,7,C,59.0,C,57.0,C,55.0,Exceeded,86.6,52,50,46,70,,,,,,,
Avery County Schools,060334,Blue Ridge Academy,7,,,,,,,,,,,,,,,,,,,
Avery County Schools,060700,Avery High STEM Academy,7,A,88.0,,,,,Met,81.3,89,,,,,60,78,93,100,100,93
Avery County Schools,060701,Avery High Viking Academy,7,C,66.0,,,,,Met,71.4,65,,,,58,100,,,,,
Beaufort County Schools,070302,Eastern Elementary,1,I,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070308,Bath Elementary,1,B,70.0,C,69.0,C,67.0,NotMet,64.9,71,69,68,83,100,,,,,,
Beaufort County Schools,070310,B C Ed Tech Center,1,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070311,Beaufort Co Early College High,1,A,88.0,,,,,Exceeded,89.8,88,,,,80,80,86,100,,100,91
Beaufort County Schools,070325,Chocowinity Middle,1,D,51.0,D,54.0,D,41.0,NotMet,56.5,49,52,36,65,79,,,,,,
Beaufort County Schools,070326,Chocowinity Primary,1,B,78.0,B,76.0,B,80.0,Met,82.0,77,75,79,,,,,,,,
Beaufort County Schools,070327,John C Tayloe Elementary,1,C,56.0,C,56.0,D,51.0,Met,80.4,50,50,51,,,,,,,,
Beaufort County Schools,070328,John Small Elementary,1,D,44.0,D,50.0,F,39.0,NotMet,50.0,42,46,36,46,,,,,,,
Beaufort County Schools,070329,Northeast Elementary,1,C,59.0,C,55.0,D,53.0,Met,84.0,53,50,45,78,95,,,,,,
Beaufort County Schools,070330,Northside High,1,C,61.0,,,,,NotMet,59.3,62,,,,58,51,34,51,70,100,87
Beaufort County Schools,070338,P S Jones Middle,1,D,50.0,D,45.0,D,44.0,Met,76.0,43,41,34,64,79,,,,,,
Beaufort County Schools,070339,Southside High,1,C,66.0,,,,,Met,81.1,62,,,,57,51,29,42,70,100,92
Beaufort County Schools,070340,S W Snowden Elementary,1,D,40.0,D,40.0,F,34.0,Met,72.1,32,31,24,47,60,,,,,,
Beaufort County Schools,070342,Washington High,1,C,62.0,,,,,Met,74.2,59,,,,38,49,47,53,60,100,76
Bertie County Schools,080311,Bertie Early College High,1,B,71.0,,,,,Met,74.9,70,,,,51,71,55,61,85,100,100
Bertie County Schools,080312,Bertie High,1,D,46.0,,,,,NotMet,58.4,43,,,,21,25,18,16,34,100,79
Bertie County Schools,080314,Bertie Middle,1,D,47.0,D,49.0,F,35.0,Exceeded,88.8,37,39,24,66,86,,,,,,
Bertie County Schools,080348,Aulander Elementary,1,D,43.0,D,45.0,D,42.0,Met,77.2,35,39,31,33,,,,,,,
Bertie County Schools,080356,West Bertie Elementary,1,F,35.0,F,39.0,F,34.0,NotMet,67.5,27,30,23,27,,,,,,,
Bertie County Schools,080360,Colerain Elementary,1,F,38.0,D,46.0,F,34.0,Met,70.1,30,38,24,27,,,,,,,
Bertie County Schools,080362,Windsor Elementary,1,D,48.0,D,43.0,D,47.0,Met,76.8,41,37,39,61,,,,,,,
Bertie County Schools,080375,Bertie Academy,1,,,,,,,,,,,,,,,,,,,
Bertie County Schools,080700,Bertie STEM High,1,B,83.0,,,,,Met,80.1,84,,,,65,80,85,67,86,100,95
Bladen County Schools,090304,B T Washington Primary,4,D,54.0,D,48.0,C,62.0,Met,70.5,50,44,56,50,,,,,,,
Bladen County Schools,090315,Bladenboro Middle,4,F,39.0,D,45.0,F,30.0,NotMet,58.2,34,38,23,48,54,,,,,,
Bladen County Schools,090317,Bladenboro Primary,4,C,55.0,D,54.0,C,57.0,NotMet,68.5,52,49,54,,,,,,,,
Bladen County Schools,090318,Bladen Lakes Primary,4,D,52.0,D,52.0,D,51.0,Exceeded,85.3,44,46,41,,,,,,,,
Bladen County Schools,090320,Clarkton School of Discovery,4,D,54.0,C,63.0,D,42.0,NotMet,58.8,52,60,37,65,100,,,,,,
Bladen County Schools,090324,Dublin Primary,4,C,65.0,C,62.0,C,68.0,Exceeded,86.8,60,56,63,,,,,,,,
Bladen County Schools,090328,East Arcadia Elementary,4,D,40.0,D,40.0,F,35.0,Met,78.9,30,30,24,46,83,,,,,,
Bladen County Schools,090330,East Bladen High,4,C,56.0,,,,,NotMet,66.1,53,,,,33,52,33,32,64,100,74
Bladen County Schools,090332,Elizabethtown Middle,4,D,43.0,D,43.0,F,36.0,Met,82.8,33,33,24,50,47,,,,,,
Bladen County Schools,090333,Elizabethtown Primary,4,D,50.0,D,51.0,D,49.0,Met,84.5,42,43,41,,,,,,,,
Bladen County Schools,090352,Plain View Primary,4,C,57.0,C,55.0,C,59.0,Met,78.6,51,49,54,,,,,,,,
Bladen County Schools,090365,Tar Heel Middle,4,D,44.0,D,49.0,F,31.0,Met,73.8,37,41,21,56,70,,,,,,
Bladen County Schools,090368,West Bladen High,4,C,56.0,,,,,NotMet,66.5,53,,,,22,50,39,34,52,100,80
Brunswick County Schools,100302,Belville Elementary,2,C,55.0,C,63.0,D,51.0,NotMet,54.8,56,60,51,59,,,,,,,
Brunswick County Schools,100304,Bolivia Elementary,2,C,63.0,C,65.0,C,65.0,NotMet,65.5,63,62,64,58,,,,,,,
Brunswick County Schools,100307,Brunswick County Early College,2,A,94.0,,,,,Met,84.4,100,,,,95,100,82,100,,100,100
Brunswick County Schools,100308,Brunswick County Academy,2,,,,,,,,,,,,,,,,,,,
Brunswick County Schools,100309,Cedar Grove Middle,2,C,57.0,C,59.0,D,49.0,Exceeded,86.0,50,53,39,68,100,,,,,,
Brunswick County Schools,100310,Jessie Mae Monroe Elementary,2,D,52.0,D,52.0,D,53.0,Met,70.5,47,46,46,52,,,,,,,
Brunswick County Schools,100316,Leland Middle,2,D,50.0,C,57.0,F,38.0,NotMet,68.1,46,51,32,68,100,,,,,,
Brunswick County Schools,100320,Lincoln Elementary,2,C,60.0,D,54.0,C,58.0,Exceeded,90.7,52,47,50,72,,,,,,,
Brunswick County Schools,100326,North Brunswick High,2,C,64.0,,,,,Met,76.7,61,,,,40,48,52,49,74,100,82
Brunswick County Schools,100332,Shallotte Middle,2,C,69.0,B,72.0,C,56.0,Exceeded,96.7,62,67,47,81,100,,,,,,
Brunswick County Schools,100334,South Brunswick High,2,C,69.0,,,,,NotMet,68.1,69,,,,52,61,55,60,52,95,90
Brunswick County Schools,100335,South Brunswick Middle,2,C,58.0,C,61.0,D,49.0,NotMet,59.9,57,60,44,71,94,,,,,,
Brunswick County Schools,100336,Southport Elementary,2,C,58.0,C,65.0,C,56.0,NotMet,59.9,57,63,53,51,,,,,,,
Brunswick County Schools,100338,Supply Elementary,2,D,48.0,D,51.0,D,47.0,NotMet,59.6,45,47,43,44,,,,,,,
Brunswick County Schools,100339,Town Creek Elementary,2,D,51.0,C,59.0,D,47.0,NotMet,61.4,48,55,44,40,,,,,,,
Brunswick County Schools,100340,Union Elementary,2,B,75.0,B,75.0,B,71.0,Exceeded,90.1,71,72,67,81,,,,,,,
Brunswick County Schools,100342,Virginia Williamson Elem,2,C,56.0,C,64.0,D,52.0,NotMet,58.9,55,60,50,58,,,,,,,
Brunswick County Schools,100344,Waccamaw,2,C,59.0,C,61.0,C,56.0,NotMet,69.1,57,57,52,69,82,,,,,,
Brunswick County Schools,100348,West Brunswick High,2,B,71.0,,,,,Exceeded,88.5,67,,,,55,64,60,57,40,100,80
Buncombe County Schools,110303,Community High School,8,,,,,,,,,,,,,,,,,,,
Buncombe County Schools,110304,Reynolds High,8,B,72.0,,,,,NotMet,68.4,74,,,,58,72,64,67,71,100,89
Buncombe County Schools,110306,Reynolds Middle,8,C,67.0,C,60.0,C,63.0,Met,84.1,62,60,56,74,100,,,,,,
Buncombe County Schools,110308,Barnardsville Elementary,8,C,64.0,C,66.0,C,60.0,Met,83.7,59,63,54,,,,,,,,
Buncombe County Schools,110318,Black Mountain Elementary,8,C,68.0,C,65.0,C,68.0,NotMet,62.7,69,67,68,76,,,,,,,
Buncombe County Schools,110320,Black Mountain Primary,8,B,72.0,B,75.0,C,66.0,Met,82.5,70,73,66,,,,,,,,
Buncombe County Schools,110322,Buncombe County Early College,8,A,92.0,,,,,Met,82.3,94,,,,93,100,88,100,,100,88
Buncombe County Schools,110323,Buncombe County Middle College,8,,,,,,,,,,,,,,,,,,,
Buncombe County Schools,110324,Candler Elementary,8,C,61.0,C,68.0,C,59.0,NotMet,63.7,60,64,58,53,,,,,,,
Buncombe County Schools,110326,Cane Creek Middle,8,B,75.0,B,72.0,B,70.0,Met,82.3,74,72,67,85,100,,,,,,
Buncombe County Schools,110332,Bell Elementary,8,C,67.0,C,65.0,C,69.0,Met,80.7,64,61,67,63,,,,,,,
Buncombe County Schools,110336,Owen High,8,B,70.0,,,,,Met,77.4,68,,,,54,64,52,60,69,100,88
Buncombe County Schools,110338,Owen Middle,8,C,58.0,C,58.0,D,47.0,NotMet,66.7,55,57,41,78,93,,,,,,
Buncombe County Schools,110340,Erwin High,8,C,58.0,,,,,NotMet,59.5,58,,,,46,50,39,42,70,95,76
Buncombe County Schools,110342,Erwin Middle,8,C,55.0,C,56.0,D,43.0,NotMet,57.6,54,54,39,75,80,,,,,,
Buncombe County Schools,110348,Emma Elementary,8,D,52.0,D,45.0,C,57.0,Exceeded,88.9,43,37,49,,,,,,,,
Buncombe County Schools,110352,Enka High,8,C,58.0,,,,,NotMet,50.0,60,,,,42,56,41,53,69,100,80
Buncombe County Schools,110356,Fairview Elementary,8,C,69.0,C,65.0,C,66.0,Exceeded,89.4,64,61,61,80,,,,,,,
Buncombe County Schools,110366,Glen Arden Elementary,8,B,78.0,B,76.0,B,79.0,Met,81.0,77,76,79,,,,,,,,
Buncombe County Schools,110368,Haw Creek Elementary,8,C,65.0,C,62.0,C,67.0,NotMet,63.7,66,62,66,75,,,,,,,
Buncombe County Schools,110370,Hominy Valley Elementary,8,C,68.0,C,62.0,B,71.0,Met,71.6,67,62,68,74,,,,,,,
Buncombe County Schools,110372,Johnston Elementary,8,D,48.0,D,54.0,D,42.0,Met,78.0,40,48,33,,,,,,,,
Buncombe County Schools,110376,Leicester Elementary,8,C,66.0,C,63.0,C,68.0,Exceeded,90.3,60,57,63,,,,,,,,
Buncombe County Schools,110379,North Buncombe Elementary,8,C,64.0,C,61.0,C,66.0,Met,83.0,59,58,60,,,,,,,,
Buncombe County Schools,110380,North Buncombe High,8,B,75.0,,,,,Met,82.0,73,,,,63,66,65,62,74,100,88
Buncombe County Schools,110381,North Buncombe Middle,8,C,61.0,C,63.0,D,52.0,NotMet,56.1,63,64,49,76,81,,,,,,
Buncombe County Schools,110382,North Windy Ridge Intermediate,8,C,68.0,C,65.0,B,72.0,Met,78.6,65,63,67,65,,,,,,,
Buncombe County Schools,110384,Oakley Elementary,8,C,56.0,C,56.0,D,54.0,Met,78.6,50,50,47,62,,,,,,,
Buncombe County Schools,110388,Pisgah Elementary,8,B,80.0,B,79.0,B,81.0,Exceeded,89.9,78,77,79,75,,,,,,,
Buncombe County Schools,110401,Enka Middle,8,C,58.0,C,58.0,D,53.0,NotMet,55.7,58,58,50,72,100,,,,,,
Buncombe County Schools,110408,Sand Hill-Venable Elem,8,C,57.0,C,63.0,C,58.0,NotMet,58.8,57,60,57,46,,,,,,,
Buncombe County Schools,110410,Avery's Creek Elementary,8,C,60.0,C,62.0,C,60.0,NotMet,60.3,60,61,59,,,,,,,,
Buncombe County Schools,110412,Williams Elementary,8,C,59.0,C,57.0,C,59.0,NotMet,69.4,56,55,55,61,,,,,,,
Buncombe County Schools,110416,Roberson High,8,B,75.0,,,,,NotMet,66.2,77,,,,72,72,60,70,72,100,94
Buncombe County Schools,110420,Valley Springs Middle,8,B,71.0,C,63.0,C,66.0,Exceeded,86.3,67,63,60,76,100,,,,,,
Buncombe County Schools,110422,Estes Elementary,8,C,68.0,B,70.0,C,68.0,NotMet,59.7,70,70,70,,,,,,,,
Buncombe County Schools,110428,Weaverville Elementary,8,B,70.0,B,72.0,C,69.0,Met,75.9,69,71,67,,,,,,,,
Buncombe County Schools,110432,Weaverville Primary,8,I,,,,,,,,,,,,,,,,,,
Buncombe County Schools,110436,West Buncombe Elementary,8,B,73.0,B,71.0,B,74.0,Exceeded,87.3,69,69,69,,,,,,,,
Buncombe County Schools,110444,Woodfin Elementary,8,D,53.0,D,51.0,C,56.0,NotMet,69.5,49,46,52,,,,,,,,
Buncombe County Schools,110450,Koontz Intermediate,8,C,62.0,C,62.0,C,62.0,NotMet,56.0,63,63,60,70,,,,,,,
Buncombe County Schools,110451,Eblen Intermediate,8,D,51.0,D,51.0,D,51.0,NotMet,61.9,48,46,47,55,,,,,,,
Asheville City Schools,111302,Asheville High,8,C,69.0,,,,,NotMet,59.6,71,,,,56,68,57,66,49,100,86
Asheville City Schools,111304,Hall Fletcher Elementary,8,C,58.0,D,54.0,C,58.0,Met,78.4,53,47,53,66,,,,,,,
Asheville City Schools,111306,Isaac Dickson Elementary,8,B,80.0,B,79.0,B,78.0,Met,78.7,80,79,79,85,,,,,,,
Asheville City Schools,111312,Claxton Elementary,8,B,76.0,B,73.0,B,74.0,Exceeded,87.7,73,70,72,87,,,,,,,
Asheville City Schools,111332,Ira B Jones Elementary,8,C,69.0,C,69.0,C,66.0,Met,74.4,68,68,64,81,,,,,,,
Asheville City Schools,111356,Asheville Middle,8,C,65.0,C,65.0,C,58.0,Met,72.4,63,63,54,78,100,,,,,,
Asheville City Schools,111360,Vance Elementary,8,B,78.0,B,77.0,B,76.0,Exceeded,90.8,74,74,73,80,,,,,,,
Asheville City Schools,111700,School of Inquiry and Life Sciences,8,A,90.0,,,,,Exceeded,86.9,90,,,,78,88,,100,100,100,100
Burke County Schools,120304,Chesterfield Elementary,7,C,63.0,C,60.0,C,57.0,Met,83.6,57,57,50,76,,,,,,,
Burke County Schools,120308,Hallyburton Academy,7,,,,,,,,,,,,,,,,,,,
Burke County Schools,120310,Burke Middle College,7,A,99.0,,,,,,,100,,,,,,,100,,100,100
Burke County Schools,120312,Drexel Elementary,7,C,58.0,C,62.0,D,50.0,Met,76.5,53,57,44,66,,,,,,,
Burke County Schools,120314,East Burke High,7,C,64.0,,,,,NotMet,50.0,67,,,,51,57,61,57,54,100,91
Burke County Schools,120315,East Burke Middle,7,B,74.0,B,72.0,C,67.0,Exceeded,91.5,69,69,62,86,100,,,,,,
Burke County Schools,120316,Forest Hill Elementary,7,C,66.0,C,64.0,C,66.0,Met,83.0,62,61,61,69,,,,,,,
Burke County Schools,120318,Freedom High,7,C,61.0,,,,,NotMet,51.1,64,,,,49,58,40,46,64,100,95
Burke County Schools,120320,George Hildebrand Elementary,7,C,68.0,C,63.0,C,66.0,Met,74.8,66,63,63,85,,,,,,,
Burke County Schools,120324,Glen Alpine Elementary,7,B,70.0,C,69.0,C,67.0,Exceeded,87.3,65,65,62,73,,,,,,,
Burke County Schools,120334,Heritage Middle,7,C,69.0,C,66.0,C,65.0,Exceeded,97.8,62,59,57,84,100,,,,,,
Burke County Schools,120338,Hildebran Elementary,7,B,76.0,B,74.0,B,71.0,Exceeded,95.9,70,69,65,90,,,,,,,
Burke County Schools,120340,Mountain Crest Elementary,7,C,57.0,D,49.0,C,57.0,Exceeded,89.9,49,42,48,74,,,,,,,
Burke County Schools,120344,Icard Elementary,7,C,66.0,C,60.0,C,63.0,Met,80.5,62,58,59,82,,,,,,,
Burke County Schools,120346,Jimmy C Draughn High School,7,B,79.0,,,,,Met,80.1,79,,,,77,65,77,63,65,100,95
Burke County Schools,120350,Liberty Middle,7,C,68.0,C,69.0,C,62.0,Exceeded,90.0,62,64,55,73,100,,,,,,
Burke County Schools,120352,North Liberty,7,,,,,,,,,,,,,,,,,,,
Burke County Schools,120360,Mull Elementary,7,C,69.0,B,71.0,C,58.0,Exceeded,86.5,65,68,53,92,,,,,,,
Burke County Schools,120364,Oak Hill Elementary,7,C,63.0,C,60.0,C,56.0,Exceeded,86.1,57,56,50,82,,,,,,,
Burke County Schools,120368,Ray Childers Elementary,7,C,61.0,C,60.0,C,60.0,NotMet,58.1,62,58,61,74,,,,,,,
Burke County Schools,120370,Robert L. Patton High School,7,C,67.0,,,,,NotMet,56.9,70,,,,60,62,46,67,78,100,90
Burke County Schools,120372,Rutherford College Elem,7,A,86.0,A,88.0,B,81.0,Exceeded,91.3,85,88,80,100,,,,,,,
Burke County Schools,120374,Salem Elementary,7,B,72.0,C,69.0,C,67.0,Exceeded,91.3,67,66,60,93,,,,,,,
Burke County Schools,120376,Table Rock Middle,7,C,62.0,C,61.0,C,57.0,Exceeded,86.7,56,56,50,71,100,,,,,,
Burke County Schools,120380,Valdese Elementary,7,B,70.0,B,71.0,C,66.0,Exceeded,86.2,66,67,62,74,,,,,,,
Burke County Schools,120386,W A Young Elementary,7,C,60.0,C,60.0,D,52.0,Exceeded,87.0,54,54,45,78,,,,,,,
Burke County Schools,120390,Walter R Johnson Middle,7,C,69.0,C,65.0,C,63.0,Exceeded,95.8,62,59,55,81,100,,,,,,
Cabarrus County Schools,130304,A T Allen Elementary,6,C,62.0,C,60.0,C,63.0,NotMet,67.8,61,56,62,69,,,,,,,
Cabarrus County Schools,130307,Cox Mill High School,6,B,80.0,,,,,Met,83.9,79,,,,65,74,67,76,79,100,100
Cabarrus County Schools,130308,Bethel Elementary,6,C,58.0,C,60.0,D,53.0,NotMet,64.1,57,56,52,76,,,,,,,
Cabarrus County Schools,130309,Beverly Hills Elementary,6,C,61.0,C,64.0,C,61.0,Met,82.8,55,58,55,47,,,,,,,
Cabarrus County Schools,130310,Central Cabarrus High,6,B,71.0,,,,,Exceeded,89.0,66,,,,55,60,55,54,79,94,89
Cabarrus County Schools,130311,Coltrane-Webb Elementary,6,C,64.0,C,64.0,C,63.0,Met,74.4,61,60,62,61,,,,,,,
Cabarrus County Schools,130312,Harrisburg Elementary,6,B,75.0,B,76.0,B,75.0,Met,80.2,74,75,73,74,,,,,,,
Cabarrus County Schools,130313,Concord Middle,6,D,45.0,D,44.0,F,36.0,NotMet,68.4,39,37,29,62,94,,,,,,
