graduation_year,unit_code,leaname,schname,status,subgroup,subgroup_name,schcount,leacount,seacount,sch_percent_enrolled,lea_percent_enrolled,sea_percent_enrolled
2012,010LEA,Alamance-Burlington Schools,,ENROLL,AM7,American Indian,,,720.0,,66.66,54.71
2012,010LEA,Alamance-Burlington Schools,,ENROLL,AS7,Asian,,16.0,1930.0,,76.19,79.32
2012,010LEA,Alamance-Burlington Schools,,ENROLL,All,All Student (Total or subtotal),,971.0,63828.0,,66.73,66.94
2012,010LEA,Alamance-Burlington Schools,,ENROLL,BL7,Black,,231.0,16672.0,,64.7,61.86
2012,010LEA,Alamance-Burlington Schools,,ENROLL,ECODIS,Economically Disadvantaged,,304.0,21630.0,,55.77,54.48
2012,010LEA,Alamance-Burlington Schools,,ENROLL,F,Female,,531.0,35033.0,,71.27,72.63
2012,010LEA,Alamance-Burlington Schools,,ENROLL,HI7,Hispanic,,86.0,3943.0,,45.26,47.75
2012,010LEA,Alamance-Burlington Schools,,ENROLL,LEP,Limited English Proficiency,,7.0,564.0,,18.91,29.98
2012,010LEA,Alamance-Burlington Schools,,ENROLL,M,Male,,440.0,28795.0,,61.97,61.12
2012,010LEA,Alamance-Burlington Schools,,ENROLL,MU7,Multiracial,,12.0,1872.0,,54.54,66.0
2012,010LEA,Alamance-Burlington Schools,,ENROLL,PI7,Pacific Islander,,,55.0,,,66.26
2012,010LEA,Alamance-Burlington Schools,,ENROLL,WDIS,Students with Disabilities,,47.0,3183.0,,37.9,36.51
2012,010LEA,Alamance-Burlington Schools,,ENROLL,WH7,White,,624.0,38636.0,,72.38,72.26
2012,010LEA,Alamance-Burlington Schools,,NOENROLL,AM7,American Indian,,,596.0,,66.66,54.71
2012,010LEA,Alamance-Burlington Schools,,NOENROLL,AS7,Asian,,5.0,503.0,,76.19,79.32
2012,010LEA,Alamance-Burlington Schools,,NOENROLL,All,All Student (Total or subtotal),,484.0,31511.0,,66.73,66.94
2012,010LEA,Alamance-Burlington Schools,,NOENROLL,BL7,Black,,126.0,10279.0,,64.7,61.86
2012,010LEA,Alamance-Burlington Schools,,NOENROLL,ECODIS,Economically Disadvantaged,,241.0,18070.0,,55.77,54.48
2012,010LEA,Alamance-Burlington Schools,,NOENROLL,F,Female,,214.0,13201.0,,71.27,72.63
2012,010LEA,Alamance-Burlington Schools,,NOENROLL,HI7,Hispanic,,104.0,4314.0,,45.26,47.75
2012,010LEA,Alamance-Burlington Schools,,NOENROLL,LEP,Limited English Proficiency,,30.0,1317.0,,18.91,29.98
2012,010LEA,Alamance-Burlington Schools,,NOENROLL,M,Male,,270.0,18310.0,,61.97,61.12
2012,010LEA,Alamance-Burlington Schools,,NOENROLL,MU7,Multiracial,,10.0,964.0,,54.54,66.0
2012,010LEA,Alamance-Burlington Schools,,NOENROLL,PI7,Pacific Islander,,,28.0,,,66.26
2012,010LEA,Alamance-Burlington Schools,,NOENROLL,WDIS,Students with Disabilities,,77.0,5533.0,,37.9,36.51
2012,010LEA,Alamance-Burlington Schools,,NOENROLL,WH7,White,,238.0,14827.0,,72.38,72.26
2012,020LEA,Alexander County Schools,,ENROLL,AM7,American Indian,,,720.0,,,54.71
2012,020LEA,Alexander County Schools,,ENROLL,AS7,Asian,,15.0,1930.0,,88.23,79.32
2012,020LEA,Alexander County Schools,,ENROLL,All,All Student (Total or subtotal),,221.0,63828.0,,54.7,66.94
2012,020LEA,Alexander County Schools,,ENROLL,BL7,Black,,7.0,16672.0,,38.88,61.86
2012,020LEA,Alexander County Schools,,ENROLL,ECODIS,Economically Disadvantaged,,54.0,21630.0,,33.54,54.48
2012,020LEA,Alexander County Schools,,ENROLL,F,Female,,116.0,35033.0,,61.05,72.63
2012,020LEA,Alexander County Schools,,ENROLL,HI7,Hispanic,,,3943.0,,18.18,47.75
2012,020LEA,Alexander County Schools,,ENROLL,LEP,Limited English Proficiency,,,564.0,,33.33,29.98
2012,020LEA,Alexander County Schools,,ENROLL,M,Male,,105.0,28795.0,,49.06,61.12
2012,020LEA,Alexander County Schools,,ENROLL,MU7,Multiracial,,,1872.0,,20.0,66.0
2012,020LEA,Alexander County Schools,,ENROLL,PI7,Pacific Islander,,,55.0,,,66.26
2012,020LEA,Alexander County Schools,,ENROLL,WDIS,Students with Disabilities,,9.0,3183.0,,22.5,36.51
2012,020LEA,Alexander County Schools,,ENROLL,WH7,White,,194.0,38636.0,,56.89,72.26
2012,020LEA,Alexander County Schools,,NOENROLL,AM7,American Indian,,,596.0,,,54.71
2012,020LEA,Alexander County Schools,,NOENROLL,AS7,Asian,,,503.0,,88.23,79.32
2012,020LEA,Alexander County Schools,,NOENROLL,All,All Student (Total or subtotal),,183.0,31511.0,,54.7,66.94
2012,020LEA,Alexander County Schools,,NOENROLL,BL7,Black,,11.0,10279.0,,38.88,61.86
2012,020LEA,Alexander County Schools,,NOENROLL,ECODIS,Economically Disadvantaged,,107.0,18070.0,,33.54,54.48
2012,020LEA,Alexander County Schools,,NOENROLL,F,Female,,74.0,13201.0,,61.05,72.63
2012,020LEA,Alexander County Schools,,NOENROLL,HI7,Hispanic,,18.0,4314.0,,18.18,47.75
2012,020LEA,Alexander County Schools,,NOENROLL,LEP,Limited English Proficiency,,6.0,1317.0,,33.33,29.98
2012,020LEA,Alexander County Schools,,NOENROLL,M,Male,,109.0,18310.0,,49.06,61.12
2012,020LEA,Alexander County Schools,,NOENROLL,MU7,Multiracial,,,964.0,,20.0,66.0
2012,020LEA,Alexander County Schools,,NOENROLL,PI7,Pacific Islander,,,28.0,,,66.26
2012,020LEA,Alexander County Schools,,NOENROLL,WDIS,Students with Disabilities,,31.0,5533.0,,22.5,36.51
2012,020LEA,Alexander County Schools,,NOENROLL,WH7,White,,147.0,14827.0,,56.89,72.26
2012,030LEA,Alleghany County Schools,,ENROLL,AM7,American Indian,,,720.0,,,54.71
2012,030LEA,Alleghany County Schools,,ENROLL,AS7,Asian,,,1930.0,,,79.32
2012,030LEA,Alleghany County Schools,,ENROLL,All,All Student (Total or subtotal),,62.0,63828.0,,59.04,66.94
2012,030LEA,Alleghany County Schools,,ENROLL,BL7,Black,,,16672.0,,,61.86
2012,030LEA,Alleghany County Schools,,ENROLL,ECODIS,Economically Disadvantaged,,34.0,21630.0,,54.83,54.48
2012,030LEA,Alleghany County Schools,,ENROLL,F,Female,,35.0,35033.0,,79.54,72.63
2012,030LEA,Alleghany County Schools,,ENROLL,HI7,Hispanic,,8.0,3943.0,,57.14,47.75
2012,030LEA,Alleghany County Schools,,ENROLL,LEP,Limited English Proficiency,,,564.0,,,29.98
2012,030LEA,Alleghany County Schools,,ENROLL,M,Male,,27.0,28795.0,,44.26,61.12
2012,030LEA,Alleghany County Schools,,ENROLL,MU7,Multiracial,,,1872.0,,,66.0
2012,030LEA,Alleghany County Schools,,ENROLL,PI7,Pacific Islander,,,55.0,,,66.26
2012,030LEA,Alleghany County Schools,,ENROLL,WDIS,Students with Disabilities,,8.0,3183.0,,47.05,36.51
2012,030LEA,Alleghany County Schools,,ENROLL,WH7,White,,54.0,38636.0,,60.0,72.26
2012,030LEA,Alleghany County Schools,,NOENROLL,AM7,American Indian,,,596.0,,,54.71
2012,030LEA,Alleghany County Schools,,NOENROLL,AS7,Asian,,,503.0,,,79.32
2012,030LEA,Alleghany County Schools,,NOENROLL,All,All Student (Total or subtotal),,43.0,31511.0,,59.04,66.94
2012,030LEA,Alleghany County Schools,,NOENROLL,BL7,Black,,,10279.0,,,61.86
2012,030LEA,Alleghany County Schools,,NOENROLL,ECODIS,Economically Disadvantaged,,28.0,18070.0,,54.83,54.48
2012,030LEA,Alleghany County Schools,,NOENROLL,F,Female,,9.0,13201.0,,79.54,72.63
2012,030LEA,Alleghany County Schools,,NOENROLL,HI7,Hispanic,,6.0,4314.0,,57.14,47.75
2012,030LEA,Alleghany County Schools,,NOENROLL,LEP,Limited English Proficiency,,,1317.0,,,29.98
2012,030LEA,Alleghany County Schools,,NOENROLL,M,Male,,34.0,18310.0,,44.26,61.12
2012,030LEA,Alleghany County Schools,,NOENROLL,MU7,Multiracial,,,964.0,,,66.0
2012,030LEA,Alleghany County Schools,,NOENROLL,PI7,Pacific Islander,,,28.0,,,66.26
2012,030LEA,Alleghany County Schools,,NOENROLL,WDIS,Students with Disabilities,,9.0,5533.0,,47.05,36.51
2012,030LEA,Alleghany County Schools,,NOENROLL,WH7,White,,36.0,14827.0,,60.0,72.26
2012,040LEA,Anson County Schools,,ENROLL,AM7,American Indian,,,720.0,,,54.71
2012,040LEA,Anson County Schools,,ENROLL,AS7,Asian,,7.0,1930.0,,87.5,79.32
2012,040LEA,Anson County Schools,,ENROLL,All,All Student (Total or subtotal),,141.0,63828.0,,48.78,66.94
2012,040LEA,Anson County Schools,,ENROLL,BL7,Black,,74.0,16672.0,,42.04,61.86
2012,040LEA,Anson County Schools,,ENROLL,ECODIS,Economically Disadvantaged,,84.0,21630.0,,46.15,54.48
2012,040LEA,Anson County Schools,,ENROLL,F,Female,,80.0,35033.0,,53.33,72.63
2012,040LEA,Anson County Schools,,ENROLL,HI7,Hispanic,,,3943.0,,28.57,47.75
2012,040LEA,Anson County Schools,,ENROLL,LEP,Limited English Proficiency,,,564.0,,33.33,29.98
2012,040LEA,Anson County Schools,,ENROLL,M,Male,,61.0,28795.0,,43.88,61.12
2012,040LEA,Anson County Schools,,ENROLL,MU7,Multiracial,,,1872.0,,50.0,66.0
2012,040LEA,Anson County Schools,,ENROLL,PI7,Pacific Islander,,,55.0,,,66.26
2012,040LEA,Anson County Schools,,ENROLL,WDIS,Students with Disabilities,,8.0,3183.0,,20.0,36.51
2012,040LEA,Anson County Schools,,ENROLL,WH7,White,,56.0,38636.0,,59.57,72.26
2012,040LEA,Anson County Schools,,NOENROLL,AM7,American Indian,,,596.0,,,54.71
2012,040LEA,Anson County Schools,,NOENROLL,AS7,Asian,,,503.0,,87.5,79.32
2012,040LEA,Anson County Schools,,NOENROLL,All,All Student (Total or subtotal),,148.0,31511.0,,48.78,66.94
2012,040LEA,Anson County Schools,,NOENROLL,BL7,Black,,102.0,10279.0,,42.04,61.86
2012,040LEA,Anson County Schools,,NOENROLL,ECODIS,Economically Disadvantaged,,98.0,18070.0,,46.15,54.48
2012,040LEA,Anson County Schools,,NOENROLL,F,Female,,70.0,13201.0,,53.33,72.63
2012,040LEA,Anson County Schools,,NOENROLL,HI7,Hispanic,,5.0,4314.0,,28.57,47.75
2012,040LEA,Anson County Schools,,NOENROLL,LEP,Limited English Proficiency,,,1317.0,,33.33,29.98
2012,040LEA,Anson County Schools,,NOENROLL,M,Male,,78.0,18310.0,,43.88,61.12
2012,040LEA,Anson County Schools,,NOENROLL,MU7,Multiracial,,,964.0,,50.0,66.0
2012,040LEA,Anson County Schools,,NOENROLL,PI7,Pacific Islander,,,28.0,,,66.26
2012,040LEA,Anson County Schools,,NOENROLL,WDIS,Students with Disabilities,,32.0,5533.0,,20.0,36.51
2012,040LEA,Anson County Schools,,NOENROLL,WH7,White,,38.0,14827.0,,59.57,72.26
2012,050LEA,Ashe County Schools,,ENROLL,AM7,American Indian,,,720.0,,,54.71
2012,050LEA,Ashe County Schools,,ENROLL,AS7,Asian,,,1930.0,,95.0,79.32
2012,050LEA,Ashe County Schools,,ENROLL,All,All Student (Total or subtotal),,131.0,63828.0,,67.52,66.94
2012,050LEA,Ashe County Schools,,ENROLL,BL7,Black,,,16672.0,,95.0,61.86
2012,050LEA,Ashe County Schools,,ENROLL,ECODIS,Economically Disadvantaged,,36.0,21630.0,,49.31,54.48
2012,050LEA,Ashe County Schools,,ENROLL,F,Female,,76.0,35033.0,,75.24,72.63
2012,050LEA,Ashe County Schools,,ENROLL,HI7,Hispanic,,,3943.0,,57.14,47.75
2012,050LEA,Ashe County Schools,,ENROLL,LEP,Limited English Proficiency,,,564.0,,,29.98
2012,050LEA,Ashe County Schools,,ENROLL,M,Male,,55.0,28795.0,,59.13,61.12
2012,050LEA,Ashe County Schools,,ENROLL,MU7,Multiracial,,,1872.0,,,66.0
2012,050LEA,Ashe County Schools,,ENROLL,PI7,Pacific Islander,,,55.0,,95.0,66.26
2012,050LEA,Ashe County Schools,,ENROLL,WDIS,Students with Disabilities,,5.0,3183.0,,27.77,36.51
2012,050LEA,Ashe County Schools,,ENROLL,WH7,White,,122.0,38636.0,,67.4,72.26
2012,050LEA,Ashe County Schools,,NOENROLL,AM7,American Indian,,,596.0,,,54.71
2012,050LEA,Ashe County Schools,,NOENROLL,AS7,Asian,,,503.0,,95.0,79.32
2012,050LEA,Ashe County Schools,,NOENROLL,All,All Student (Total or subtotal),,63.0,31511.0,,67.52,66.94
2012,050LEA,Ashe County Schools,,NOENROLL,BL7,Black,,,10279.0,,95.0,61.86
2012,050LEA,Ashe County Schools,,NOENROLL,ECODIS,Economically Disadvantaged,,37.0,18070.0,,49.31,54.48
2012,050LEA,Ashe County Schools,,NOENROLL,F,Female,,25.0,13201.0,,75.24,72.63
2012,050LEA,Ashe County Schools,,NOENROLL,HI7,Hispanic,,,4314.0,,57.14,47.75
2012,050LEA,Ashe County Schools,,NOENROLL,LEP,Limited English Proficiency,,,1317.0,,,29.98
2012,050LEA,Ashe County Schools,,NOENROLL,M,Male,,38.0,18310.0,,59.13,61.12
2012,050LEA,Ashe County Schools,,NOENROLL,MU7,Multiracial,,,964.0,,,66.0
2012,050LEA,Ashe County Schools,,NOENROLL,PI7,Pacific Islander,,,28.0,,95.0,66.26
2012,050LEA,Ashe County Schools,,NOENROLL,WDIS,Students with Disabilities,,13.0,5533.0,,27.77,36.51
