graduation_year,unit_code,leaname,schname,status,subgroup,subgroup_name,schcount,leacount,seacount,sch_percent_enrolled,lea_percent_enrolled,sea_percent_enrolled
2014,010303,Alamance-Burlington Schools,Alamance-Burlington Middle College,ENROLL,ALL,All Students (Total or Subtotal,18.0,771.0,53349.0,45.0,52.6279863481229,55.288521328193
2014,010303,Alamance-Burlington Schools,Alamance-Burlington Middle College,NOENROLL,ALL,All Students (Total or Subtotal,22.0,694.0,43142.0,,,
2014,010303,Alamance-Burlington Schools,Alamance-Burlington Middle College,ENROLL,ECODIS,Economically Disadvantaged,8.0,236.0,17281.0,20.0,16.1092150170648,17.9092567259462
2014,010303,Alamance-Burlington Schools,Alamance-Burlington Middle College,NOENROLL,ECODIS,Economically Disadvantaged,12.0,356.0,21770.0,,,
2014,010303,Alamance-Burlington Schools,Alamance-Burlington Middle College,ENROLL,F,Female,12.0,428.0,29440.0,30.0,29.2150170648464,30.5103013721345
2014,010303,Alamance-Burlington Schools,Alamance-Burlington Middle College,NOENROLL,F,Female,17.0,324.0,19287.0,,,
2014,010303,Alamance-Burlington Schools,Alamance-Burlington Middle College,ENROLL,M,Male,6.0,343.0,23909.0,15.0,23.4129692832765,24.7782199560585
2014,010303,Alamance-Burlington Schools,Alamance-Burlington Middle College,NOENROLL,M,Male,5.0,370.0,23855.0,,,
2014,010303,Alamance-Burlington Schools,Alamance-Burlington Middle College,ENROLL,MB,Black,,158.0,12868.0,5.0,10.7849829351536,13.3358205861626
2014,010303,Alamance-Burlington Schools,Alamance-Burlington Middle College,NOENROLL,MB,Black,,156.0,12801.0,,,
2014,010303,Alamance-Burlington Schools,Alamance-Burlington Middle College,ENROLL,MHL,Hispanic,,91.0,3897.0,7.5,6.21160409556314,
2014,010303,Alamance-Burlington Schools,Alamance-Burlington Middle College,NOENROLL,MHL,Hispanic,,160.0,6059.0,,,
2014,010303,Alamance-Burlington Schools,Alamance-Burlington Middle College,ENROLL,MM,Multiracial,,20.0,1813.0,,,
2014,010303,Alamance-Burlington Schools,Alamance-Burlington Middle College,ENROLL,MW,White,12.0,481.0,32242.0,30.0,32.8327645051195,33.414169050284
2014,010303,Alamance-Burlington Schools,Alamance-Burlington Middle College,NOENROLL,MW,White,16.0,354.0,21286.0,,,
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,ENROLL,ALL,All Students (Total or Subtotal,142.0,771.0,53349.0,57.9591836734694,52.6279863481229,55.288521328193
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,ALL,All Students (Total or Subtotal,103.0,694.0,43142.0,,,
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,ENROLL,ECODIS,Economically Disadvantaged,30.0,236.0,17281.0,12.2448979591837,16.1092150170648,17.9092567259462
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,ECODIS,Economically Disadvantaged,39.0,356.0,21770.0,,,
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,ENROLL,F,Female,83.0,428.0,29440.0,33.8775510204082,29.2150170648464,30.5103013721345
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,F,Female,39.0,324.0,19287.0,,,
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,LEP,Limited English Proficiency,,25.0,1230.0,,,
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,ENROLL,M,Male,59.0,343.0,23909.0,24.0816326530612,23.4129692832765,24.7782199560585
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,M,Male,64.0,370.0,23855.0,,,
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,ENROLL,MAN,American Indian,,7.0,719.0,,,
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,ENROLL,MB,Black,27.0,158.0,12868.0,11.0204081632653,10.7849829351536,13.3358205861626
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,MB,Black,22.0,156.0,12801.0,,,
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,ENROLL,MHL,Hispanic,13.0,91.0,3897.0,5.30612244897959,6.21160409556314,
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,MHL,Hispanic,17.0,160.0,6059.0,,,
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,ENROLL,MM,Multiracial,,20.0,1813.0,,,
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,MM,Multiracial,,19.0,1457.0,,,
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,MNP,Pacific Islander,,,55.0,,,
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,ENROLL,MW,White,97.0,481.0,32242.0,39.5918367346939,32.8327645051195,33.414169050284
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,MW,White,62.0,354.0,21286.0,,,
2014,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,WDIS,Students With Disabilities,,12.0,725.0,,,
2014,010348,Alamance-Burlington Schools,Graham High,ENROLL,ALL,All Students (Total or Subtotal,72.0,771.0,53349.0,43.3734939759036,52.6279863481229,55.288521328193
2014,010348,Alamance-Burlington Schools,Graham High,NOENROLL,ALL,All Students (Total or Subtotal,94.0,694.0,43142.0,,,
2014,010348,Alamance-Burlington Schools,Graham High,ENROLL,ECODIS,Economically Disadvantaged,38.0,236.0,17281.0,22.8915662650602,16.1092150170648,17.9092567259462
2014,010348,Alamance-Burlington Schools,Graham High,NOENROLL,ECODIS,Economically Disadvantaged,69.0,356.0,21770.0,,,
2014,010348,Alamance-Burlington Schools,Graham High,ENROLL,F,Female,37.0,428.0,29440.0,22.289156626506,29.2150170648464,30.5103013721345
2014,010348,Alamance-Burlington Schools,Graham High,NOENROLL,F,Female,43.0,324.0,19287.0,,,
2014,010348,Alamance-Burlington Schools,Graham High,ENROLL,LEP,Limited English Proficiency,,8.0,422.0,,,
2014,010348,Alamance-Burlington Schools,Graham High,NOENROLL,LEP,Limited English Proficiency,7.0,25.0,1230.0,,,
2014,010348,Alamance-Burlington Schools,Graham High,ENROLL,M,Male,35.0,343.0,23909.0,21.0843373493976,23.4129692832765,24.7782199560585
2014,010348,Alamance-Burlington Schools,Graham High,NOENROLL,M,Male,51.0,370.0,23855.0,,,
2014,010348,Alamance-Burlington Schools,Graham High,ENROLL,MB,Black,34.0,158.0,12868.0,20.4819277108434,10.7849829351536,13.3358205861626
2014,010348,Alamance-Burlington Schools,Graham High,NOENROLL,MB,Black,26.0,156.0,12801.0,,,
2014,010348,Alamance-Burlington Schools,Graham High,ENROLL,MHL,Hispanic,22.0,91.0,3897.0,13.2530120481928,6.21160409556314,
2014,010348,Alamance-Burlington Schools,Graham High,NOENROLL,MHL,Hispanic,46.0,160.0,6059.0,,,
2014,010348,Alamance-Burlington Schools,Graham High,ENROLL,MM,Multiracial,,20.0,1813.0,,,
2014,010348,Alamance-Burlington Schools,Graham High,NOENROLL,MM,Multiracial,,19.0,1457.0,,,
2014,010348,Alamance-Burlington Schools,Graham High,ENROLL,MW,White,13.0,481.0,32242.0,7.83132530120482,32.8327645051195,33.414169050284
2014,010348,Alamance-Burlington Schools,Graham High,NOENROLL,MW,White,21.0,354.0,21286.0,,,
2014,010348,Alamance-Burlington Schools,Graham High,NOENROLL,WDIS,Students With Disabilities,,12.0,725.0,,,
2014,010360,Alamance-Burlington Schools,Hugh M Cummings High,ENROLL,ALL,All Students (Total or Subtotal,57.0,771.0,53349.0,38.7755102040816,52.6279863481229,55.288521328193
2014,010360,Alamance-Burlington Schools,Hugh M Cummings High,NOENROLL,ALL,All Students (Total or Subtotal,90.0,694.0,43142.0,,,
2014,010360,Alamance-Burlington Schools,Hugh M Cummings High,ENROLL,ECODIS,Economically Disadvantaged,41.0,236.0,17281.0,27.891156462585,16.1092150170648,17.9092567259462
2014,010360,Alamance-Burlington Schools,Hugh M Cummings High,NOENROLL,ECODIS,Economically Disadvantaged,77.0,356.0,21770.0,,,
2014,010360,Alamance-Burlington Schools,Hugh M Cummings High,ENROLL,F,Female,35.0,428.0,29440.0,23.8095238095238,29.2150170648464,30.5103013721345
2014,010360,Alamance-Burlington Schools,Hugh M Cummings High,NOENROLL,F,Female,49.0,324.0,19287.0,,,
2014,010360,Alamance-Burlington Schools,Hugh M Cummings High,ENROLL,LEP,Limited English Proficiency,,8.0,422.0,,,
2014,010360,Alamance-Burlington Schools,Hugh M Cummings High,NOENROLL,LEP,Limited English Proficiency,7.0,25.0,1230.0,,,
2014,010360,Alamance-Burlington Schools,Hugh M Cummings High,ENROLL,M,Male,22.0,343.0,23909.0,14.9659863945578,23.4129692832765,24.7782199560585
2014,010360,Alamance-Burlington Schools,Hugh M Cummings High,NOENROLL,M,Male,41.0,370.0,23855.0,,,
2014,010360,Alamance-Burlington Schools,Hugh M Cummings High,ENROLL,MA,Asian,,13.0,1770.0,,,
2014,010360,Alamance-Burlington Schools,Hugh M Cummings High,ENROLL,MAN,American Indian,,7.0,719.0,,,
2014,010360,Alamance-Burlington Schools,Hugh M Cummings High,ENROLL,MB,Black,27.0,158.0,12868.0,18.3673469387755,10.7849829351536,13.3358205861626
2014,010360,Alamance-Burlington Schools,Hugh M Cummings High,NOENROLL,MB,Black,33.0,156.0,12801.0,,,
2014,010360,Alamance-Burlington Schools,Hugh M Cummings High,ENROLL,MHL,Hispanic,18.0,91.0,3897.0,12.2448979591837,6.21160409556314,
2014,010360,Alamance-Burlington Schools,Hugh M Cummings High,NOENROLL,MHL,Hispanic,44.0,160.0,6059.0,,,
2014,010360,Alamance-Burlington Schools,Hugh M Cummings High,ENROLL,MM,Multiracial,,20.0,1813.0,,,
2014,010360,Alamance-Burlington Schools,Hugh M Cummings High,NOENROLL,MM,Multiracial,,19.0,1457.0,,,
2014,010360,Alamance-Burlington Schools,Hugh M Cummings High,ENROLL,MW,White,7.0,481.0,32242.0,,32.8327645051195,33.414169050284
2014,010360,Alamance-Burlington Schools,Hugh M Cummings High,NOENROLL,MW,White,10.0,354.0,21286.0,,,
