agency_code,pct_MA_03_AAPART,pct_MA_04_AAPART,pct_MA_05_AAPART,pct_MA_06_AAPART,pct_MA_07_AAPART,pct_MA_08_AAPART,pct_MA_GS_AAPART,pct_MA_HS_AAPART,pct_RD_03_AAPART,pct_RD_04_AAPART,pct_RD_05_AAPART,pct_RD_06_AAPART,pct_RD_07_AAPART,pct_RD_08_AAPART,pct_RD_GS_AAPART,pct_RD_HS_AAPART,pct_SC_05_AAPART,pct_SC_08_AAPART,pct_SC_GS_AAPART,pct_SC_HS_AAPART
040316,,,,,,,10.9,,,,,,,,10.9,,,,,
120352,,,,,,,95.0,,,,,,,,95.0,,,,95.0,
170339,,,,,,,8.0,,,,,,,,8.0,,,,,
182304,,,,,,,95.0,,,,,,,,95.0,,,,,
190312,,,,,6.9,,,,,,,,6.9,,,,,,,
230359,,,,,,,95.0,,,,,,,,95.0,95.0,,,95.0,
290310,,,,,,,95.0,,,,,,,,95.0,,,,,
291350,,,,,,,95.0,,,,,,,,95.0,,,,,
298202,,,,,,,32.3,,,,,,,,33.3,,,,,
320306,,,,,,6.5,,,,,,,,6.4,,,,6.5,6.5,
330344,,,,,,,6.0,,,,,,,,6.0,,,,,
340336,,,,,,,,95.0,,,,,,,,95.0,,,,95.0
340344,,,,,,,95.0,,,,,,,,95.0,,,,,
340436,,,,95.0,95.0,95.0,95.0,,,,,95.0,95.0,95.0,95.0,,,95.0,95.0,
360394,,,,95.0,,,95.0,95.0,,,,95.0,,,95.0,,,,95.0,95.0
410379,,,,,,,95.0,,,,,,,,95.0,,,,,
410427,,,,,,,6.2,,,,,,,,6.2,,,,,
410457,95.0,,95.0,95.0,,,95.0,,95.0,,95.0,95.0,,,95.0,,95.0,,95.0,
410458,,,,,,,,95.0,,,,,,,,95.0,,,,95.0
410464,,,95.0,,,,95.0,,,,95.0,,,,95.0,,95.0,,95.0,
420LEA,,,5.0,,,,,,,,5.0,,,,,,5.0,,,
422318,,,,,,,7.5,,,,,,,,7.4,,,,,
422LEA,,,,,,,5.8,,,,,,,,5.7,,,,,
460332,,,,,,,7.0,,,,,,,,7.0,,,,,
470330,,,,,,,5.4,,,,,,,,5.4,,,,,
530316,,,,,,,95.0,,,,,,,,95.0,,,,95.0,
540318,,,,,,,38.9,,,,,,,,38.9,,,,,
600414,,,,,,,5.3,,,,,,,,5.3,,,,,
600451,,,,,,,6.8,,,,,,,,6.7,,,,,
600454,,,,,,95.0,95.0,,,,,,,95.0,95.0,,,95.0,95.0,
600501,,,,,,,5.6,,,,,,,,5.6,,,,,
600519,,,,,,,7.3,,,,,,,,7.3,,,,,
600588,7.9,,,,,,6.1,,7.9,,,,,,6.1,,,,,
640308,,,8.8,,,,7.7,,,,8.8,,,,7.7,,8.8,,8.8,
650312,,,,,,,9.3,,,,,,,,9.3,,,,,
650368,,,,,,,5.9,,,,,,,,5.9,,,,,
700308,,,,5.3,,,,,,,,5.3,,,,,,,,
730354,,,,,,,6.1,,,,,,,,6.1,,,,,
740400,,,,,,,7.3,,,,,,,,7.3,,,,,
770346,,,,,,,5.3,,,,,,,,5.3,,,,,
770370,,,,,,,5.4,,,,,,,,5.4,,,,,
780341,,,,,5.1,,,,,,,,5.1,,,,,,,
800315,,,,,,,6.6,,,,,,,,6.6,,,,,
800347,,,,,,,5.7,,,,,,,,5.7,,,,,
810336,,,,,,,5.3,,,,,,,,5.3,,,,,
810342,,,,5.6,,,,,,,,5.5,,,,,,,,
810344,,,,,,,5.4,,,,,,,,5.4,,,,,
900392,,,,,,,95.0,95.0,,,,,,,95.0,95.0,,,,95.0
910311,,,,,,,7.2,,,,,,,,7.2,,,,,
910316,,,,,6.9,8.0,5.7,,,,,,6.8,8.0,5.8,,,8.0,8.0,
960332,,95.0,95.0,95.0,95.0,95.0,95.0,,,95.0,95.0,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,
970312,,,,,,,5.4,,,,,,,,5.4,,,,,
990304,,,,,,,10.6,,,,,,,,10.6,,,,,
